row_id,success_count,credit_score,loan_amount,num_investors,interest_rate,total_count,success_rate,loan_purpose,social_insurance,months_of_service,loan_year,age,bank_loan
0,-5.1993376,1.4532796,-0.7315153,-0.23808933,0.63946185,-5.1993376,0.25360621,5.1993376,5.1993376,-0.36017172,0.69910809,-2.4320167,-5.1993376
1,0.51349142,-0.24454752,0.2239158,0.29267606,1.2023467,-0.1422445,1.2447784,5.1993376,-5.1993376,0.06025574,-0.60746322,-1.0230033,0.1874957
2,-5.1993376,-1.8252481,-5.1993376,-1.8179677,2.1440107,-0.1422445,-0.67055744,5.1993376,5.1993376,-5.1993376,-5.1993376,-1.2502419,-5.1993376
3,-5.1993376,2.0250318,-0.1422445,0.092971849,-0.26398459,-0.1422445,-0.67055744,5.1993376,5.1993376,-0.78332986,0.18547963,-0.79704409,-5.1993376
4,-5.1993376,-0.63025382,-1.1644437,-1.059682,0.63946185,1.2612822,-2.2111272,-5.1993376,5.1993376,-0.053972647,-0.60746322,-0.36553148,-5.1993376
5,0.51349142,1.2724784,0.2239158,-0.90518882,0.63946185,-0.1422445,1.2447784,5.1993376,5.1993376,0.37628274,0.18547963,0.45146888,-5.1993376
6,-5.1993376,-0.63792343,0.2239158,0.84987354,1.6022103,-5.1993376,0.25360621,-5.1993376,-5.1993376,0.10810309,-0.60746322,-0.17527843,-5.1993376
7,-5.1993376,-0.68317781,0.55253687,1.4181186,0.63946185,-0.1422445,-0.67055744,-5.1993376,-5.1993376,1.2753025,-0.21363612,0.45146888,1.4237534
8,-5.1993376,0.73315571,0.91087287,0.57607489,-0.26398459,-0.1422445,-0.67055744,5.1993376,-5.1993376,1.1669186,0.18547963,-0.17527843,-5.1993376
9,-5.1993376,-0.13591068,1.4437281,0.092971849,-0.26398459,-5.1993376,0.25360621,-5.1993376,-5.1993376,-0.053972647,-1.1694007,0.58052362,-5.1993376
10,-5.1993376,-0.64408623,-0.1422445,-0.50492201,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,0.90897492,0.69910809,0.71036555,-5.1993376
11,-5.1993376,0.36955819,0.91087287,0.8196557,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,1.5459273,0.18547963,1.1140325,1.3624373
12,1.4181186,0.55107599,0.55253687,0.29267606,-0.83733836,0.62109893,2.1696941,5.1993376,5.1993376,1.9264032,0.18547963,0.85167519,1.1602688
13,0.51349142,0.31105902,1.0841952,0.75299744,0.087932998,-0.1422445,1.2447784,-5.1993376,-5.1993376,1.358913,0.69910809,0.14858402,-5.1993376
14,0.51349142,-0.036390523,0.99791966,0.43900121,0.30448193,1.0774455,-0.98765156,-5.1993376,5.1993376,-0.28744217,-1.1694007,0.29922973,-5.1993376
15,-5.1993376,-1.1140325,-0.1422445,0.21235277,0.63946185,-5.1993376,0.25360621,5.1993376,5.1993376,-0.65804298,0.69910809,-1.2502419,-5.1993376
16,0.51349142,1.4532796,1.3620783,2.9147775,-0.26398459,0.87535389,-0.67055744,5.1993376,5.1993376,-0.36017172,0.18547963,-0.57311539,-5.1993376
17,-5.1993376,0.61805886,1.649237,2.5280807,0.63946185,0.29660674,-1.1768904,5.1993376,-5.1993376,-0.36017172,0.18547963,0.14858402,-5.1993376
18,1.0230033,0.8109099,2.4320167,1.2640664,-1.3219458,0.62109893,0.96142934,5.1993376,-5.1993376,1.3041214,-0.21363612,1.6590928,1.6896701
19,-5.1993376,0.74635093,-0.1422445,0.13337869,0.30448193,0.29660674,-1.1768904,5.1993376,5.1993376,0.22262957,0.69910809,0.29922973,0.34948301
20,-5.1993376,-0.42660141,-0.7315153,-0.13591068,-0.69112102,-5.1993376,0.25360621,5.1993376,-5.1993376,1.4319709,2.1196682,-0.36553148,2.0883886
21,0.51349142,0.16636735,0.91087287,-0.089192496,-0.26398459,-0.1422445,1.2447784,-5.1993376,-5.1993376,-0.78332986,-0.21363612,-0.17527843,-5.1993376
22,1.0230033,0.51349142,-1.1644437,-1.9858764,-0.97143575,0.87535389,0.25360621,-5.1993376,-5.1993376,0.22262957,-0.21363612,-0.79704409,0.49213682
23,-5.1993376,0.52209871,-0.38978343,0.95151828,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,-0.55985906,-0.21363612,-0.17527843,-5.1993376
24,-5.1993376,0.76639141,-0.43348197,-0.50492201,0.63946185,0.29660674,-1.1768904,5.1993376,5.1993376,1.358913,0.18547963,2.3076067,-5.1993376
25,-5.1993376,-0.42660141,-0.43348197,-0.29005812,0.30448193,-0.1422445,-0.67055744,5.1993376,5.1993376,-5.1993376,0.69910809,1.3494976,0.36888665
26,-5.1993376,0.10557959,-0.1422445,0.092971849,0.63946185,1.8803524,-2.7474533,5.1993376,-5.1993376,2.2786252,-1.1694007,0.45146888,-5.1993376
27,-5.1993376,-0.42660141,-0.7315153,-0.089192496,-0.69112102,-5.1993376,0.25360621,5.1993376,-5.1993376,0.56132709,1.3781138,-2.1079532,-5.1993376
28,1.0230033,0.49638952,1.649237,2.4979834,-1.3219458,0.29660674,1.761948,5.1993376,5.1993376,0.06025574,2.1196682,-0.57311539,1.3582358
29,1.0230033,-1.2809814,-0.1422445,-0.089192496,-0.26398459,0.87535389,0.25360621,5.1993376,-5.1993376,0.18165198,1.3781138,0.29922973,-5.1993376
30,1.0230033,0.61805886,0.91087287,0.50492201,-1.0819398,0.87535389,0.25360621,5.1993376,-5.1993376,-0.92233022,-0.21363612,-0.79704409,0.91864982
31,-5.1993376,1.6844637,-0.7315153,-1.8179677,-0.26398459,-0.1422445,-0.67055744,5.1993376,5.1993376,-5.1993376,-5.1993376,0.14858402,0.26671293
32,-5.1993376,-1.1905774,0.55253687,0.95151828,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,-0.28744217,0.18547963,-1.4678604,-5.1993376
33,-5.1993376,-0.0050182959,0.55253687,0.092971849,0.97546566,-0.1422445,-0.67055744,5.1993376,5.1993376,0.77314015,0.18547963,-0.57311539,1.2354564
34,-5.1993376,1.3340661,0.91087287,1.2895781,-1.3219458,-5.1993376,0.25360621,5.1993376,-5.1993376,0.60897269,1.3781138,0.14858402,2.2005788
35,-5.1993376,-0.42660141,-1.1644437,-0.29005812,-2.0431151,-0.1422445,-0.67055744,5.1993376,-5.1993376,-0.78332986,2.1196682,-2.4320167,0.3429328
36,-5.1993376,-0.12705243,0.2239158,0.0062728847,0.63946185,-5.1993376,0.25360621,-5.1993376,-5.1993376,0.72334253,-0.60746322,0.29922973,1.1844468
37,1.0230033,-0.17018472,0.91087287,0.57607489,-0.97143575,1.2612822,-0.42385485,5.1993376,-5.1993376,0.68159434,-1.1694007,0.98561042,1.1844468
38,1.7679033,-0.86436505,0.2239158,-1.2529876,-0.26398459,2.1696941,-0.67055744,-5.1993376,-5.1993376,1.3189459,-1.1694007,1.8312243,0.9127741
39,1.7679033,1.199766,-0.43348197,-0.44869228,-1.8114574,1.0774455,1.5542696,5.1993376,-5.1993376,0.45842568,1.3781138,0.85167519,1.277257
40,1.0230033,0.52930109,0.55253687,-0.34149266,-0.26398459,0.87535389,0.25360621,-5.1993376,5.1993376,-0.28744217,-0.60746322,0.29922973,-5.1993376
41,-5.1993376,-0.13591068,-1.1644437,-0.6150245,2.1440107,-5.1993376,0.25360621,5.1993376,5.1993376,-1.0552931,-1.1694007,-1.2502419,-5.1993376
42,1.0230033,2.0853556,0.55253687,0.50492201,-0.97143575,0.62109893,0.96142934,5.1993376,5.1993376,0.26658359,0.69910809,1.6590928,-5.1993376
43,1.0230033,0.75466427,1.649237,0.71359852,-1.0819398,0.87535389,0.25360621,-5.1993376,-5.1993376,-0.65804298,-1.1694007,-0.17527843,-5.1993376
44,-5.1993376,-0.80569207,-0.7315153,-0.50492201,-0.69112102,-5.1993376,0.25360621,5.1993376,-5.1993376,-0.55985906,1.3781138,-0.57311539,0.18176131
45,1.0230033,-1.7986626,1.0841952,-0.56279634,1.2023467,1.4354772,-0.67055744,-5.1993376,-5.1993376,1.2809814,-1.1694007,1.3494976,1.5712865
46,-5.1993376,-0.56868553,0.55253687,0.50492201,0.30448193,-5.1993376,0.25360621,-5.1993376,-5.1993376,-0.55985906,-0.60746322,-0.17527843,-5.1993376
47,1.0230033,0.59693534,0.55253687,1.7055704,-0.26398459,1.2612822,-0.42385485,-5.1993376,-5.1993376,0.22262957,0.18547963,0.58052362,-5.1993376
48,-5.1993376,-1.1140325,0.55253687,1.0909946,-0.26398459,0.29660674,-1.1768904,5.1993376,5.1993376,-0.55985906,0.69910809,0.14858402,0.21143044
49,-5.1993376,0.30185479,2.0965206,2.6620346,0.17400458,-5.1993376,0.25360621,-5.1993376,5.1993376,-0.11441489,-0.21363612,0.14858402,-5.1993376
50,1.0230033,0.96742157,-5.1993376,-1.144896,-2.0431151,0.29660674,1.761948,5.1993376,-5.1993376,-0.17018472,-0.21363612,-1.873053,-5.1993376
51,0.51349142,0.47661874,0.91087287,0.61199579,-0.26398459,0.62109893,-0.36687305,5.1993376,5.1993376,-0.78332986,0.18547963,0.58052362,-5.1993376
52,-5.1993376,1.2179357,-5.1993376,-0.98357337,0.30448193,-5.1993376,0.25360621,5.1993376,5.1993376,-5.1993376,0.18547963,0.45146888,-5.1993376
53,-5.1993376,-1.4827602,-0.7315153,-0.66428721,-0.26398459,-0.1422445,-0.67055744,-5.1993376,-5.1993376,-0.17018472,0.69910809,0.71036555,-5.1993376
54,0.51349142,-0.94088545,1.0841952,0.88088812,0.63946185,1.2612822,-1.1768904,-5.1993376,-5.1993376,0.60897269,-1.1694007,0.29922973,-5.1993376
55,-5.1993376,-0.20081806,-0.1422445,0.61199579,-1.3219458,-0.1422445,-0.67055744,5.1993376,5.1993376,-5.1993376,2.1196682,-0.57311539,-5.1993376
56,1.7679033,-0.42660141,0.55253687,0.17400458,-0.69112102,0.87535389,2.5423492,5.1993376,5.1993376,2.3237466,0.69910809,1.464186,1.1644437
57,-5.1993376,-1.2640664,0.55253687,-0.90518882,1.2023467,-5.1993376,0.25360621,-5.1993376,5.1993376,-5.1993376,-5.1993376,0.29922973,-5.1993376
58,1.7679033,-1.1140325,0.99791966,0.57607489,-0.97143575,1.0774455,1.5542696,5.1993376,5.1993376,0.81440074,0.69910809,-0.57311539,-5.1993376
59,-5.1993376,0.75466427,-0.1422445,0.0062728847,-1.6299924,-0.1422445,-0.67055744,5.1993376,-5.1993376,-0.78332986,1.3781138,-0.17527843,-5.1993376
60,0.51349142,0.5642668,-0.1422445,0.32954771,-0.26398459,-0.1422445,1.2447784,5.1993376,5.1993376,-0.78332986,-0.21363612,0.58052362,-5.1993376
61,1.0230033,-0.32557657,2.4320167,0.17400458,0.40471681,0.29660674,1.761948,5.1993376,5.1993376,0.324254,-0.60746322,1.3494976,0.41561866
62,0.51349142,0.58498388,1.0841952,1.3249577,-0.97143575,0.29660674,0.25360621,-5.1993376,5.1993376,-0.28744217,1.3781138,-0.57311539,0.9377014
63,-5.1993376,-0.33617787,-0.43348197,0.32954771,0.40471681,0.62109893,-1.5215251,5.1993376,-5.1993376,-0.78332986,-0.21363612,0.58052362,0.60897269
64,-5.1993376,1.3978365,0.11820414,0.21235277,-0.26398459,-0.1422445,-0.67055744,5.1993376,5.1993376,-0.78332986,0.18547963,-0.79704409,-5.1993376
65,0.51349142,-0.66116187,0.55253687,1.0230033,0.30448193,1.7444475,-1.6896701,-5.1993376,-5.1993376,-0.65804298,-0.21363612,0.58052362,0.21846392
66,-5.1993376,0.26138737,-0.1422445,-0.72008693,2.1440107,-5.1993376,0.25360621,5.1993376,5.1993376,-0.78332986,-0.60746322,-0.36553148,-5.1993376
67,0.51349142,-0.59993651,0.91087287,1.123415,-1.3219458,0.29660674,0.25360621,5.1993376,-5.1993376,0.48930663,0.69910809,-0.36553148,-5.1993376
68,0.51349142,-0.66116187,-0.1422445,0.25360621,-0.26398459,-0.1422445,1.2447784,5.1993376,-5.1993376,0.0062728847,0.18547963,-1.2502419,0.57261762
