row_id,term_id,value
0,4,1
1,11,0.6239474
1,93,0.78146634
2,52,0.90074644
2,79,0.43434531
3,59,0.57365706
3,90,0.81909559
4,50,1
6,52,1
9,31,1
11,43,1
17,4,1
18,25,1
21,79,1
25,59,1
26,24,1
28,99,1
29,43,0.80924916
29,79,0.58746558
30,59,0.5980397
30,77,0.80146648
31,70,0.80385312
31,79,0.59482784
34,4,0.52587753
34,9,0.55573401
34,86,0.64390413
36,79,1
41,70,1
44,79,1
47,30,1
52,35,0.47849612
52,36,0.43371522
52,37,0.48712294
52,39,0.4471298
52,70,0.30685587
52,79,0.22706439
53,43,1
57,79,1
58,79,1
62,50,0.54906362
62,55,0.61657173
62,58,0.56424148
69,66,0.82837088
69,80,0.56018005
71,50,1
73,72,1
76,60,1
80,4,0.55866176
80,31,0.72806742
80,79,0.3972592
87,79,0.34168644
87,85,0.70859024
87,87,0.61737368
90,35,0.73064885
90,39,0.68275344
91,87,1
94,24,1
97,43,1
100,11,0.66408093
100,28,0.74766069
101,4,0.79545035
101,9,0.42030586
101,56,0.43657957
103,80,1
105,83,1
109,79,1
110,42,0.79207649
110,59,0.61042185
112,80,1
113,79,1
114,79,1
123,19,1
125,79,1
129,4,1
130,70,1
133,4,0.25484154
133,9,0.80793018
133,16,0.34946688
133,26,0.35684517
133,79,0.18121545
134,29,0.71846391
134,30,0.69556424
135,66,0.75209753
135,98,0.65905182
148,79,1
149,60,1
150,19,0.55212624
150,20,0.61272214
150,78,0.56544513
151,31,1
153,63,1
158,53,1
164,69,1
165,79,1
175,43,1
176,63,1
181,80,1
183,61,0.70710678
183,91,0.70710678
186,70,1
187,79,1
200,43,1
201,66,1
203,41,0.64582817
203,70,0.43815109
203,89,0.62524363
207,67,1
210,33,0.48850088
210,34,0.50943432
210,38,0.49821741
210,39,0.50360994
211,93,1
213,96,1
216,79,1
219,59,1
225,79,1
226,5,1
236,24,0.70710678
236,41,0.70710678
237,10,0.62926912
237,56,0.46840801
237,73,0.62017281
244,4,0.5550865
244,66,0.83179263
245,47,1
246,25,1
250,59,1
257,79,1
259,98,1
262,25,0.48889111
262,78,0.87234482
266,9,1
272,70,1
273,4,0.47193393
273,11,0.57482212
273,24,0.6684743
276,79,1
277,79,1
278,79,1
279,79,1
283,21,1
286,70,1
287,54,0.79043204
287,56,0.61254974
288,43,1
299,9,0.82966043
299,79,0.55826837
300,59,0.55675422
300,76,0.83067728
301,81,0.68995054
301,92,0.72385652
303,79,1
309,79,1
310,50,1
313,56,1
319,2,0.73261381
319,4,0.48024243
319,59,0.48233206
327,4,1
336,89,1
347,87,1
348,56,1
351,79,1
356,59,0.7225385
356,70,0.69133068
357,56,1
359,59,1
362,19,1
370,56,0.61254974
370,64,0.79043204
373,79,1
385,87,1
386,47,1
388,70,0.5989422
388,87,0.80079226
396,43,0.80924916
396,79,0.58746558
404,79,0.42871592
404,95,0.90343935
405,69,1
422,59,0.5980397
422,77,0.80146648
423,19,0.55212624
423,20,0.61272214
423,78,0.56544513
425,79,1
430,27,0.84177714
430,70,0.5398252
433,2,0.82202736
433,9,0.56944799
438,21,1
446,70,1
452,75,1
456,79,1
462,89,1
465,46,1
473,69,1
481,76,1
484,47,1
485,87,1
486,70,1
492,43,1
493,70,1
513,0,0.68521186
513,15,0.72834381
526,79,1
533,79,1
539,79,1
540,0,1
542,70,1
546,7,1
551,77,1
561,41,1
564,65,1
581,29,0.72490929
581,77,0.68884434
586,43,1
599,4,1
604,60,1
605,86,1
608,30,0.59790661
608,65,0.59790661
608,86,0.53386831
612,43,1
613,43,1
614,61,1
615,79,1
619,19,1
620,86,1
621,42,1
627,72,1
628,43,1
631,51,1
634,33,0.69625736
634,39,0.71779223
648,83,1
663,40,1
664,6,0.33092684
664,10,0.68905027
664,11,0.28456451
664,13,0.33092684
664,16,0.32037918
664,84,0.35009256
671,76,1
674,41,0.79080294
674,79,0.19849967
674,88,0.40031568
674,94,0.41830126
677,79,1
689,51,1
697,94,1
702,7,0.6708167
702,31,0.59283534
702,43,0.44559086
703,69,1
706,16,1
713,4,1
722,79,1
726,79,1
728,79,1
730,15,0.61159647
730,40,0.62536601
730,56,0.48463089
731,43,0.80924916
731,79,0.58746558
732,0,0.73834619
732,1,0.46421059
732,11,0.34503223
732,86,0.34685183
736,28,0.80676298
736,59,0.59087519
737,59,1
740,86,1
742,43,1
743,0,0.91436492
743,9,0.24714852
743,30,0.32070923
744,79,1
746,4,1
753,74,1
767,79,1
768,70,1
769,22,0.89370371
769,79,0.44865764
770,79,1
779,43,0.69501455
779,80,0.71899567
783,14,0.90959417
783,79,0.41549784
787,79,1
792,43,1
796,79,1
