bin_center,mean_repaid,mean_default
0.0125,1.2,0.0
0.037500000000000006,12.94,0.0
0.0625,15.58,0.02
0.08750000000000001,17.86,0.88
0.1125,23.66,2.3
0.1375,26.02,3.96
0.16250000000000003,26.86,6.16
0.1875,28.0,7.8
0.21250000000000002,26.7,8.7
0.2375,25.08,9.92
0.2625,26.26,10.06
0.28750000000000003,26.08,10.16
0.3125,23.78,11.56
0.3375,23.6,11.98
0.36250000000000004,19.98,13.58
0.3875,18.74,14.62
0.41250000000000003,18.04,14.8
0.4375,17.36,16.62
0.4625,15.48,16.22
0.48750000000000004,14.52,17.14
0.5125,12.44,17.6
0.5375000000000001,11.4,18.36
0.5625,10.62,20.44
0.5875000000000001,11.1,22.98
0.6125,11.04,22.94
0.6375,10.98,23.84
0.6625000000000001,10.9,23.52
0.6875,8.52,24.9
0.7125000000000001,7.68,28.6
0.7375,7.72,29.82
0.7625,6.46,33.48
0.7875000000000001,6.16,32.08
0.8125,5.48,32.84
0.8375000000000001,4.64,35.9
0.8625,3.6,36.42
0.8875,2.88,37.84
0.9125000000000001,1.12,30.56
0.9375,0.52,18.16
0.9625000000000001,0.0,4.22
0.9875,0.0,0.02
