seed,design,Model,ROC,PR,Rec,F1
1,FULL,S,0.82747906,0.84372565,0.75260805,0.76515152
1,FULL,M,0.82662233,0.84791175,0.75707899,0.76969697
1,FOLD,S,0.82747906,0.84372565,0.75260805,0.76515152
1,FOLD,M,0.82466647,0.84465723,0.75707899,0.76506024
2,FULL,S,0.81651796,0.84294354,0.73919523,0.76073620
2,FULL,M,0.81151811,0.83694867,0.72727273,0.74503817
2,FOLD,S,0.81651520,0.84294242,0.73919523,0.76073620
2,FOLD,M,0.81008289,0.83564427,0.72876304,0.74713522
3,FULL,S,0.81836914,0.85094270,0.74217586,0.75626424
3,FULL,M,0.81112969,0.83811499,0.73770492,0.75399848
3,FOLD,S,0.81836914,0.85094270,0.74217586,0.75626424
3,FOLD,M,0.81498357,0.83991110,0.74813711,0.75830816
4,FULL,S,0.81534444,0.83483161,0.75856930,0.76830189
4,FULL,M,0.81411858,0.83354743,0.76751118,0.76693969
4,FOLD,S,0.81534995,0.83483634,0.75856930,0.76830189
4,FOLD,M,0.81436651,0.83623344,0.75409836,0.76435045
5,FULL,S,0.82011564,0.84717743,0.74515648,0.76628352
5,FULL,M,0.81894764,0.84679942,0.74515648,0.75872534
5,FOLD,S,0.82011564,0.84717743,0.74515648,0.76628352
5,FOLD,M,0.81268887,0.84125753,0.74664680,0.76024279
6,FULL,S,0.80505549,0.82888339,0.74366617,0.75951294
6,FULL,M,0.80217679,0.82380128,0.74664680,0.75736961
6,FOLD,S,0.80505549,0.82888339,0.74366617,0.75951294
6,FOLD,M,0.80309412,0.82432674,0.74366617,0.75778284
7,FULL,S,0.84527742,0.87033666,0.75260805,0.78233927
7,FULL,M,0.83739060,0.86051030,0.75260805,0.77453988
7,FOLD,S,0.84527742,0.87033666,0.75260805,0.78233927
7,FOLD,M,0.83382597,0.85259819,0.74217586,0.76321839
8,FULL,S,0.81196438,0.84262999,0.71236960,0.74396887
8,FULL,M,0.81545463,0.84139524,0.73174367,0.75480400
8,FOLD,S,0.81196438,0.84262999,0.71236960,0.74396887
8,FOLD,M,0.81185143,0.83467836,0.73770492,0.75803982
9,FULL,S,0.81039418,0.83454170,0.73025335,0.75326672
9,FULL,M,0.80034214,0.82965725,0.71684054,0.73435115
9,FOLD,S,0.81039418,0.83454170,0.73025335,0.75326672
9,FOLD,M,0.80023195,0.82574712,0.73174367,0.74904653
10,FULL,S,0.82192826,0.83463142,0.75111773,0.77123183
10,FULL,M,0.81911567,0.83413426,0.75409836,0.76899696
10,FOLD,S,0.82192826,0.83463142,0.75111773,0.77123183
10,FOLD,M,0.81352907,0.83087953,0.74366617,0.76416539
11,FULL,S,0.83085361,0.85489016,0.73770492,0.76684741
11,FULL,M,0.82743223,0.85359029,0.73472429,0.76374903
11,FOLD,S,0.83073240,0.85482518,0.73770492,0.76684741
11,FOLD,M,0.83094452,0.85724935,0.73323398,0.76043277
12,FULL,S,0.81247676,0.83139542,0.69746647,0.74050633
12,FULL,M,0.80402247,0.82548425,0.69895678,0.73858268
12,FOLD,S,0.81247676,0.83139542,0.69746647,0.74050633
12,FOLD,M,0.80019889,0.82583077,0.69448584,0.73155416
13,FULL,S,0.80020991,0.83399515,0.71982116,0.73853211
13,FULL,M,0.79936696,0.82959096,0.71982116,0.73628049
13,FOLD,S,0.80020991,0.83399515,0.71982116,0.73853211
13,FOLD,M,0.79883530,0.82819294,0.73323398,0.74376417
14,FULL,S,0.80071678,0.82588255,0.73919523,0.75609756
14,FULL,M,0.79717144,0.82164597,0.73323398,0.74601971
14,FOLD,S,0.80071678,0.82588255,0.73919523,0.75609756
14,FOLD,M,0.79444425,0.81990968,0.74217586,0.74774775
15,FULL,S,0.81352356,0.83869923,0.73025335,0.75675676
15,FULL,M,0.80509131,0.83603554,0.72280179,0.74329502
15,FOLD,S,0.81352356,0.83869923,0.73025335,0.75675676
15,FOLD,M,0.80278835,0.83387085,0.71236960,0.73651772
16,FULL,S,0.82806031,0.84831430,0.75409836,0.77666922
16,FULL,M,0.81889805,0.83685523,0.74366617,0.76358072
16,FOLD,S,0.82806031,0.84831430,0.75409836,0.77666922
16,FOLD,M,0.81993108,0.84247440,0.74366617,0.76416539
17,FULL,S,0.81652898,0.85081650,0.70789866,0.74980268
17,FULL,M,0.80697555,0.84022170,0.72280179,0.74787972
17,FOLD,S,0.81659233,0.85089157,0.70789866,0.74980268
17,FOLD,M,0.81115724,0.84154493,0.72280179,0.74615385
18,FULL,S,0.83016493,0.85452303,0.74068554,0.76461538
18,FULL,M,0.82602180,0.85018856,0.75856930,0.77532369
18,FOLD,S,0.83020900,0.85454164,0.74068554,0.76461538
18,FOLD,M,0.82742121,0.84880982,0.74664680,0.76197719
19,FULL,S,0.82108807,0.85685258,0.72131148,0.75802662
19,FULL,M,0.81613505,0.85218847,0.72578241,0.75621118
