seed,design,Group,Model,ROC,Rec
1,FULL,Marginal,S,0.64510940,0.59797297
1,FULL,Marginal,M,0.64606002,0.60810811
1,FULL,Clear,S,0.89835699,0.87466667
1,FULL,Clear,M,0.89799570,0.87466667
1,FOLD,Marginal,S,0.64510940,0.59797297
1,FOLD,Marginal,M,0.63696326,0.60472973
1,FOLD,Clear,S,0.89835699,0.87466667
1,FOLD,Clear,M,0.89262796,0.87733333
2,FULL,Marginal,S,0.62816996,0.62950820
2,FULL,Marginal,M,0.61496153,0.60327869
2,FULL,Clear,S,0.89167036,0.83060109
2,FULL,Clear,M,0.89256572,0.83060109
2,FOLD,Marginal,S,0.62816996,0.62950820
2,FOLD,Marginal,M,0.60817665,0.60655738
2,FOLD,Clear,S,0.89166113,0.83060109
2,FOLD,Clear,M,0.89043347,0.83060109
3,FULL,Marginal,S,0.65195836,0.60135135
3,FULL,Marginal,M,0.64005164,0.60472973
3,FULL,Clear,S,0.89184181,0.85333333
3,FULL,Clear,M,0.88472768,0.84266667
3,FOLD,Marginal,S,0.65195836,0.60135135
3,FOLD,Marginal,M,0.64919798,0.62162162
3,FOLD,Clear,S,0.89184181,0.85333333
3,FOLD,Clear,M,0.88490847,0.84800000
4,FULL,Marginal,S,0.66222012,0.65048544
4,FULL,Marginal,M,0.65708948,0.66990291
4,FULL,Clear,S,0.88759247,0.85082873
4,FULL,Clear,M,0.88954022,0.85082873
4,FOLD,Marginal,S,0.66224643,0.65048544
4,FOLD,Marginal,M,0.66500908,0.64077670
4,FOLD,Clear,S,0.88759247,0.85082873
4,FOLD,Clear,M,0.88660923,0.85082873
5,FULL,Marginal,S,0.65038007,0.62500000
5,FULL,Marginal,M,0.63738739,0.62500000
5,FULL,Clear,S,0.87923810,0.84000000
5,FULL,Clear,M,0.89005537,0.84000000
5,FOLD,Marginal,S,0.65038007,0.62500000
5,FOLD,Marginal,M,0.62291667,0.62837838
5,FOLD,Clear,S,0.87923810,0.84000000
5,FOLD,Clear,M,0.88311849,0.84000000
6,FULL,Marginal,S,0.65201868,0.63879599
6,FULL,Marginal,M,0.64342464,0.64548495
6,FULL,Clear,S,0.86918152,0.82795699
6,FULL,Clear,M,0.86441532,0.82795699
6,FOLD,Marginal,S,0.65201868,0.63879599
6,FOLD,Marginal,M,0.65372620,0.64214047
6,FOLD,Clear,S,0.86918152,0.82795699
6,FOLD,Clear,M,0.86194822,0.82526882
7,FULL,Marginal,S,0.65220899,0.60666667
7,FULL,Marginal,M,0.64986772,0.60666667
7,FULL,Clear,S,0.91813951,0.87061995
7,FULL,Clear,M,0.90857964,0.87061995
7,FOLD,Marginal,S,0.65220899,0.60666667
7,FOLD,Marginal,M,0.63052910,0.58333333
7,FOLD,Clear,S,0.91813951,0.87061995
7,FOLD,Clear,M,0.91217974,0.87061995
8,FULL,Marginal,S,0.65397024,0.56313993
8,FULL,Marginal,M,0.66475576,0.61433447
8,FULL,Clear,S,0.88144435,0.82804233
8,FULL,Clear,M,0.88538940,0.82275132
8,FOLD,Marginal,S,0.65397024,0.56313993
8,FOLD,Marginal,M,0.65946299,0.62798635
8,FOLD,Clear,S,0.88144435,0.82804233
8,FOLD,Clear,M,0.87984777,0.82275132
9,FULL,Marginal,S,0.63169733,0.58922559
9,FULL,Marginal,M,0.60128253,0.55892256
9,FULL,Clear,S,0.87529412,0.84224599
9,FULL,Clear,M,0.87670232,0.84224599
9,FOLD,Marginal,S,0.63169733,0.58922559
9,FOLD,Marginal,M,0.61398215,0.59259259
9,FOLD,Clear,S,0.87529412,0.84224599
9,FOLD,Clear,M,0.87138146,0.84224599
10,FULL,Marginal,S,0.68194961,0.61710037
10,FULL,Marginal,M,0.67710863,0.62453532
10,FULL,Clear,S,0.87461427,0.84079602
10,FULL,Clear,M,0.86900151,0.84079602
10,FOLD,Marginal,S,0.68194961,0.61710037
10,FOLD,Marginal,M,0.65762908,0.59851301
10,FOLD,Clear,S,0.87461427,0.84079602
10,FOLD,Clear,M,0.86575823,0.84079602
11,FULL,Marginal,S,0.62772493,0.60153257
11,FULL,Marginal,M,0.62476879,0.59386973
11,FULL,Clear,S,0.89928171,0.82439024
11,FULL,Clear,M,0.89591917,0.82439024
11,FOLD,Marginal,S,0.62699828,0.60153257
11,FOLD,Marginal,M,0.63005351,0.59003831
11,FOLD,Clear,S,0.89928171,0.82439024
11,FOLD,Clear,M,0.90108138,0.82439024
12,FULL,Marginal,S,0.64856893,0.54026846
12,FULL,Marginal,M,0.61994763,0.54362416
12,FULL,Clear,S,0.87771258,0.82305630
12,FULL,Clear,M,0.87632994,0.82305630
12,FOLD,Marginal,S,0.64856893,0.54026846
12,FOLD,Marginal,M,0.61093388,0.53355705
12,FOLD,Clear,S,0.87771258,0.82305630
12,FOLD,Clear,M,0.87731634,0.82305630
13,FULL,Marginal,S,0.57904313,0.56993007
13,FULL,Marginal,M,0.58369459,0.57692308
13,FULL,Clear,S,0.87620130,0.83116883
13,FULL,Clear,M,0.87902597,0.82597403
13,FOLD,Marginal,S,0.57904313,0.56993007
13,FOLD,Marginal,M,0.59070341,0.60489510
13,FOLD,Clear,S,0.87620130,0.83116883
13,FOLD,Clear,M,0.87311688,0.82857143
14,FULL,Marginal,S,0.62563636,0.61538462
14,FULL,Marginal,M,0.61826573,0.60139860
14,FULL,Clear,S,0.87099567,0.83116883
14,FULL,Clear,M,0.87056723,0.83116883
14,FOLD,Marginal,S,0.62563636,0.61538462
14,FOLD,Marginal,M,0.61089510,0.62237762
14,FOLD,Clear,S,0.87099567,0.83116883
14,FOLD,Clear,M,0.86983532,0.83116883
15,FULL,Marginal,S,0.64453263,0.60135135
15,FULL,Marginal,M,0.60772454,0.58445946
15,FULL,Clear,S,0.88223077,0.83200000
15,FULL,Clear,M,0.88226496,0.83200000
