seed,design,Group,fs,fm
1,FULL,Overall,166,163
1,FULL,High-Risk,32,28
1,FULL,Low-Risk,66,70
1,FOLD,Overall,166,163
1,FOLD,High-Risk,32,29
1,FOLD,Low-Risk,66,64
2,FULL,Overall,175,183
2,FULL,High-Risk,30,30
2,FULL,Low-Risk,65,66
2,FOLD,Overall,175,182
2,FOLD,High-Risk,30,32
2,FOLD,Low-Risk,65,66
3,FULL,Overall,173,176
3,FULL,High-Risk,31,26
3,FULL,Low-Risk,70,72
3,FOLD,Overall,173,169
3,FOLD,High-Risk,31,30
3,FOLD,Low-Risk,70,71
4,FULL,Overall,162,156
4,FULL,High-Risk,31,29
4,FULL,Low-Risk,74,70
4,FOLD,Overall,162,165
4,FOLD,High-Risk,31,30
4,FOLD,Low-Risk,74,72
5,FULL,Overall,171,171
5,FULL,High-Risk,32,31
5,FULL,Low-Risk,65,65
5,FOLD,Overall,171,170
5,FOLD,High-Risk,32,32
5,FOLD,Low-Risk,65,67
6,FULL,Overall,172,170
6,FULL,High-Risk,25,29
6,FULL,Low-Risk,63,61
6,FOLD,Overall,172,172
6,FOLD,High-Risk,25,26
6,FOLD,Low-Risk,63,70
7,FULL,Overall,166,166
7,FULL,High-Risk,28,33
7,FULL,Low-Risk,66,65
7,FOLD,Overall,166,173
7,FOLD,High-Risk,28,35
7,FOLD,Low-Risk,66,65
8,FULL,Overall,193,180
8,FULL,High-Risk,32,31
8,FULL,Low-Risk,80,70
8,FOLD,Overall,193,176
8,FOLD,High-Risk,32,27
8,FOLD,Low-Risk,80,74
9,FULL,Overall,181,190
9,FULL,High-Risk,42,46
9,FULL,Low-Risk,64,63
9,FOLD,Overall,181,180
9,FOLD,High-Risk,42,39
9,FOLD,Low-Risk,64,63
10,FULL,Overall,167,165
10,FULL,High-Risk,31,30
10,FULL,Low-Risk,68,72
10,FOLD,Overall,167,172
10,FOLD,High-Risk,31,31
10,FOLD,Low-Risk,68,74
11,FULL,Overall,176,178
11,FULL,High-Risk,31,30
11,FULL,Low-Risk,70,69
11,FOLD,Overall,176,179
11,FOLD,High-Risk,31,33
11,FOLD,Low-Risk,70,66
12,FULL,Overall,203,202
12,FULL,High-Risk,34,33
12,FULL,Low-Risk,73,74
12,FOLD,Overall,203,205
12,FOLD,High-Risk,34,33
12,FOLD,Low-Risk,73,72
13,FULL,Overall,188,188
13,FULL,High-Risk,27,33
13,FULL,Low-Risk,70,68
13,FOLD,Overall,188,179
13,FOLD,High-Risk,27,33
13,FOLD,Low-Risk,70,66
14,FULL,Overall,175,179
14,FULL,High-Risk,26,36
14,FULL,Low-Risk,70,60
14,FOLD,Overall,175,173
14,FOLD,High-Risk,26,30
14,FOLD,Low-Risk,70,65
15,FULL,Overall,181,186
15,FULL,High-Risk,37,39
15,FULL,Low-Risk,61,60
15,FOLD,Overall,181,193
15,FOLD,High-Risk,37,40
15,FOLD,Low-Risk,61,64
16,FULL,Overall,165,172
16,FULL,High-Risk,36,33
16,FULL,Low-Risk,65,69
16,FOLD,Overall,165,172
16,FOLD,High-Risk,36,36
16,FOLD,Low-Risk,65,69
17,FULL,Overall,196,186
17,FULL,High-Risk,31,31
17,FULL,Low-Risk,67,60
17,FOLD,Overall,196,186
17,FOLD,High-Risk,31,29
17,FOLD,Low-Risk,67,66
18,FULL,Overall,174,162
18,FULL,High-Risk,25,28
18,FULL,Low-Risk,72,61
18,FOLD,Overall,174,170
18,FOLD,High-Risk,25,29
18,FOLD,Low-Risk,72,62
19,FULL,Overall,187,184
19,FULL,High-Risk,31,33
19,FULL,Low-Risk,79,78
19,FOLD,Overall,187,192
19,FOLD,High-Risk,31,37
19,FOLD,Low-Risk,79,76
20,FULL,Overall,177,176
20,FULL,High-Risk,26,27
20,FULL,Low-Risk,71,74
20,FOLD,Overall,177,175
20,FOLD,High-Risk,26,25
20,FOLD,Low-Risk,71,78
21,FULL,Overall,187,184
21,FULL,High-Risk,36,37
21,FULL,Low-Risk,71,66
21,FOLD,Overall,187,181
21,FOLD,High-Risk,36,32
21,FOLD,Low-Risk,71,67
22,FULL,Overall,180,168
22,FULL,High-Risk,31,29
22,FULL,Low-Risk,77,72
22,FOLD,Overall,180,169
22,FOLD,High-Risk,31,25
22,FOLD,Low-Risk,77,76
23,FULL,Overall,151,158
23,FULL,High-Risk,17,22
23,FULL,Low-Risk,72,69
23,FOLD,Overall,151,155
23,FOLD,High-Risk,17,19
23,FOLD,Low-Risk,72,71
24,FULL,Overall,194,197
24,FULL,High-Risk,38,38
24,FULL,Low-Risk,82,79
24,FOLD,Overall,194,197
24,FOLD,High-Risk,38,42
24,FOLD,Low-Risk,82,76
25,FULL,Overall,175,168
25,FULL,High-Risk,24,21
25,FULL,Low-Risk,72,73
25,FOLD,Overall,175,171
25,FOLD,High-Risk,24,30
25,FOLD,Low-Risk,72,68
26,FULL,Overall,187,181
26,FULL,High-Risk,30,29
26,FULL,Low-Risk,74,72
26,FOLD,Overall,187,175
26,FOLD,High-Risk,30,24
26,FOLD,Low-Risk,74,74
27,FULL,Overall,171,165
27,FULL,High-Risk,35,29
27,FULL,Low-Risk,65,59
27,FOLD,Overall,171,174
27,FOLD,High-Risk,35,33
27,FOLD,Low-Risk,65,64
28,FULL,Overall,164,166
28,FULL,High-Risk,37,31
