seed,Model,ROC,PR,Rec,F1
1,S,0.82747355,0.84372199,0.75260805,0.76515152
1,M,0.82630829,0.84262167,0.75558867,0.76934750
2,S,0.81656203,0.84297244,0.73919523,0.76073620
2,M,0.81569429,0.83716088,0.73770492,0.75630252
3,S,0.81838842,0.85095212,0.74217586,0.75626424
3,M,0.81924239,0.85122456,0.74962742,0.76212121
4,S,0.81530863,0.83481970,0.75856930,0.76830189
4,M,0.82019829,0.83953664,0.76602086,0.77351392
5,S,0.82011564,0.84717743,0.74515648,0.76628352
5,M,0.81779615,0.84262992,0.75260805,0.77158136
6,S,0.80505825,0.82888421,0.74366617,0.75951294
6,M,0.80483512,0.82780847,0.74813711,0.76118271
7,S,0.84523885,0.87030569,0.75260805,0.78233927
7,M,0.84557493,0.86913535,0.74366617,0.77604977
8,S,0.81196438,0.84262999,0.71236960,0.74396887
8,M,0.81401390,0.84149487,0.73025335,0.75500770
9,S,0.81030051,0.83449215,0.73025335,0.75326672
9,M,0.81130599,0.83305948,0.72876304,0.75115207
10,S,0.82192826,0.83463142,0.75111773,0.77123183
10,M,0.82313208,0.83304757,0.76154993,0.77955759
11,S,0.83074618,0.85483634,0.73770492,0.76684741
11,M,0.83337695,0.85861363,0.74664680,0.77255204
12,S,0.81247676,0.83139542,0.69746647,0.74050633
12,M,0.80997546,0.82767609,0.69597615,0.73659306
13,S,0.80019889,0.83397878,0.71982116,0.73853211
13,M,0.80047161,0.83489365,0.73174367,0.74281392
14,S,0.80071678,0.82588255,0.73919523,0.75609756
14,M,0.79788216,0.82300676,0.73770492,0.75285171
15,S,0.81352080,0.83869568,0.73025335,0.75675676
15,M,0.81401390,0.84122234,0.73025335,0.75268817
16,S,0.82806306,0.84831557,0.75409836,0.77666922
16,M,0.82291997,0.84142578,0.74962742,0.77088123
17,S,0.81652898,0.85081650,0.70789866,0.74980268
17,M,0.81724796,0.85003478,0.70938897,0.74666667
18,S,0.83020900,0.85454164,0.74068554,0.76461538
18,M,0.83360559,0.85852515,0.74813711,0.77409406
19,S,0.82109909,0.85685574,0.72131148,0.75802662
19,M,0.82119550,0.85546419,0.73770492,0.76625387
20,S,0.82681517,0.84326014,0.73621461,0.76175790
20,M,0.82423398,0.84077146,0.74217586,0.76438987
21,S,0.81766944,0.84504153,0.72131148,0.74806801
21,M,0.82117346,0.84433142,0.72429210,0.75524476
22,S,0.81590365,0.84428826,0.73174367,0.75538462
22,M,0.81622045,0.84485273,0.73025335,0.75211051
23,S,0.83840986,0.86004144,0.77496274,0.78907436
23,M,0.84004341,0.86135417,0.77645306,0.78641509
24,S,0.80200875,0.83078581,0.71087928,0.74183515
24,M,0.80488746,0.83375191,0.71236960,0.74339036
25,S,0.81905232,0.84724881,0.73919523,0.76190476
25,M,0.81864737,0.84808867,0.74217586,0.75626424
26,S,0.83491685,0.85571520,0.72131148,0.76521739
26,M,0.83316208,0.85380040,0.72578241,0.76272514
27,S,0.82187041,0.84422285,0.74515648,0.76804916
27,M,0.82096686,0.84132185,0.74664680,0.76958525
28,S,0.82444058,0.83984703,0.75558867,0.77110266
28,M,0.82581795,0.84144624,0.75111773,0.76421531
29,S,0.81899722,0.83842908,0.73174367,0.76006192
29,M,0.81824518,0.83773674,0.74068554,0.76285495
30,S,0.81858401,0.84854346,0.70491803,0.74312647
30,M,0.81809367,0.84795489,0.71833085,0.75312500
31,S,0.82116244,0.85085557,0.72727273,0.75483372
31,M,0.82072995,0.84437819,0.74068554,0.76226994
32,S,0.82943768,0.84731040,0.73323398,0.76397516
32,M,0.82748732,0.84941545,0.74366617,0.77006173
33,S,0.82828344,0.85288020,0.73174367,0.76479751
33,M,0.82791155,0.85417761,0.74068554,0.76168582
34,S,0.83064425,0.86212163,0.72727273,0.75366795
34,M,0.83085637,0.86366757,0.72578241,0.75445391
35,S,0.82964153,0.85691109,0.74515648,0.76863951
35,M,0.82879031,0.85670063,0.73472429,0.76021588
36,S,0.81257593,0.83292145,0.74217586,0.75683891
36,M,0.81531138,0.83486022,0.74813711,0.76118271
37,S,0.82098890,0.84983105,0.72727273,0.75366795
37,M,0.82573806,0.85525066,0.74515648,0.76045627
38,S,0.84417277,0.86959976,0.74664680,0.77314815
38,M,0.83945115,0.86339613,0.74217586,0.77089783
39,S,0.85538730,0.86916364,0.76453055,0.78741366
39,M,0.85442039,0.86818583,0.76900149,0.78598629
40,S,0.82955613,0.85387539,0.74068554,0.76638396
40,M,0.82708237,0.84939573,0.74217586,0.76380368
41,S,0.81127294,0.83800115,0.72727273,0.75250578
41,M,0.81439405,0.84048467,0.73323398,0.75576037
42,S,0.82359763,0.85521348,0.70640835,0.75000000
42,M,0.82374914,0.85437891,0.70491803,0.75079365
43,S,0.80636124,0.83129666,0.76005961,0.76576577
43,M,0.80714634,0.83161026,0.74813711,0.75773585
44,S,0.83576806,0.85454985,0.77794337,0.78851964
44,M,0.83241830,0.85256182,0.77198212,0.78366112
45,S,0.80752374,0.82809552,0.72876304,0.75638051
45,M,0.80596180,0.82633707,0.71982116,0.74941815
46,S,0.80936390,0.82796251,0.73770492,0.75342466
