seed,Group,Model,ROC,PR,Rec,F1
1,Marginal,S,0.64508015,0.68469449,0.59797297,0.62765957
1,Marginal,M,0.62991400,0.67131086,0.60472973,0.63701068
1,Clear,S,0.89835699,0.89709235,0.87466667,0.86772487
1,Clear,M,0.90092903,0.89816906,0.87466667,0.86772487
2,Marginal,S,0.62682075,0.65745436,0.62950820,0.64537815
2,Marginal,M,0.62863478,0.65765854,0.62622951,0.63666667
2,Clear,S,0.89149234,0.90386283,0.83060109,0.85754584
2,Clear,M,0.88930286,0.89478759,0.83060109,0.85754584
3,Marginal,S,0.65205449,0.67009868,0.60135135,0.62346760
3,Marginal,M,0.65621567,0.66895858,0.61824324,0.63763066
3,Clear,S,0.89184181,0.91544243,0.85333333,0.85790885
3,Clear,M,0.89340565,0.91670762,0.85333333,0.85790885
4,Marginal,S,0.66222012,0.68074858,0.65048544,0.66666667
4,Marginal,M,0.68217697,0.69456951,0.66666667,0.67986799
4,Clear,S,0.88747074,0.89158925,0.85082873,0.85318560
4,Clear,M,0.88986797,0.89448404,0.85082873,0.85200553
5,Marginal,S,0.65038007,0.67600662,0.62500000,0.64572426
5,Marginal,M,0.64736768,0.66904072,0.64189189,0.65857886
5,Clear,S,0.87923810,0.89820612,0.84000000,0.86065574
5,Clear,M,0.87834330,0.89314872,0.84000000,0.86065574
6,Marginal,S,0.65201868,0.68179571,0.63879599,0.65862069
6,Marginal,M,0.65652033,0.69095003,0.64882943,0.66438356
6,Clear,S,0.86919037,0.88121128,0.82795699,0.83923706
6,Clear,M,0.86604237,0.87787774,0.82795699,0.83809524
7,Marginal,S,0.65203704,0.66953435,0.60666667,0.64197531
7,Marginal,M,0.66026455,0.68019348,0.58666667,0.62633452
7,Clear,S,0.91813018,0.92916285,0.87061995,0.89226519
7,Clear,M,0.91559332,0.92663090,0.87061995,0.89226519
8,Marginal,S,0.65397024,0.64737404,0.56313993,0.60000000
8,Marginal,M,0.66636892,0.65090232,0.60409556,0.62989324
8,Clear,S,0.88144435,0.90419221,0.82804233,0.85170068
8,Clear,M,0.88120301,0.90140463,0.82804233,0.85054348
9,Marginal,S,0.63122232,0.65987387,0.58922559,0.62056738
9,Marginal,M,0.63945122,0.66281757,0.58585859,0.61592920
9,Clear,S,0.87529412,0.88839341,0.84224599,0.85481682
9,Clear,M,0.87755793,0.88715459,0.84224599,0.85481682
10,Marginal,S,0.68194961,0.68461595,0.61710037,0.64970646
10,Marginal,M,0.68156960,0.68541555,0.64312268,0.67184466
10,Clear,S,0.87461427,0.87520134,0.84079602,0.84924623
10,Clear,M,0.87554317,0.87340994,0.84079602,0.84924623
11,Marginal,S,0.62708086,0.61631221,0.60153257,0.61932939
11,Marginal,M,0.63357115,0.62927965,0.62835249,0.63813230
11,Clear,S,0.89928171,0.90886055,0.82439024,0.86224490
11,Clear,M,0.90420712,0.91538579,0.82195122,0.86079183
12,Marginal,S,0.64856893,0.69811644,0.54026846,0.60526316
12,Marginal,M,0.63577813,0.68312498,0.53691275,0.59701493
12,Clear,S,0.87771258,0.88097625,0.82305630,0.83879781
12,Clear,M,0.87724046,0.87818754,0.82305630,0.83879781
13,Marginal,S,0.57904313,0.61494315,0.56993007,0.59706960
13,Marginal,M,0.58999146,0.64371547,0.59440559,0.60931900
13,Clear,S,0.87616883,0.89743760,0.83116883,0.83989501
13,Clear,M,0.87400974,0.89525322,0.83376623,0.84031414
14,Marginal,S,0.62563636,0.62435509,0.61538462,0.63423423
14,Marginal,M,0.62062937,0.62857230,0.61188811,0.62724014
14,Clear,S,0.87099567,0.88404663,0.83116883,0.84544254
14,Clear,M,0.86772883,0.88095550,0.83116883,0.84544254
15,Marginal,S,0.64453263,0.66619535,0.60135135,0.64028777
15,Marginal,M,0.64231972,0.67012721,0.60135135,0.63345196
15,Clear,S,0.88222222,0.89428753,0.83200000,0.84438430
15,Clear,M,0.88422222,0.89912966,0.83200000,0.84324324
16,Marginal,S,0.68163355,0.71045819,0.64137931,0.66786355
16,Marginal,M,0.66903857,0.68666199,0.63103448,0.65474061
16,Clear,S,0.88657975,0.89537176,0.83989501,0.85790885
16,Clear,M,0.88031496,0.88722655,0.83989501,0.85790885
17,Marginal,S,0.64601316,0.67926812,0.56457565,0.61077844
17,Marginal,M,0.64318948,0.66874445,0.56457565,0.60236220
17,Clear,S,0.88204180,0.90765205,0.80500000,0.84073107
17,Clear,M,0.88380225,0.90697209,0.80750000,0.84224250
18,Marginal,S,0.65408065,0.63616919,0.58712121,0.60428850
18,Marginal,M,0.66149040,0.65972020,0.60227273,0.62598425
18,Clear,S,0.89522155,0.90929363,0.84029484,0.86912325
18,Clear,M,0.89952554,0.91408037,0.84275184,0.86945501
19,Marginal,S,0.66625460,0.68924274,0.61774744,0.64412811
19,Marginal,M,0.66399721,0.67477463,0.65187713,0.66319444
19,Clear,S,0.89774717,0.92254514,0.80158730,0.84755245
