seed,Group,fs,fm,rate
1,Overall,166,164,1.20481928
1,High-Risk,32,33,-3.12500000
1,Low-Risk,66,65,1.51515152
2,Overall,175,176,-0.57142857
2,High-Risk,30,30,0.00000000
2,Low-Risk,65,60,7.69230769
3,Overall,173,168,2.89017341
3,High-Risk,31,36,-16.12903226
3,Low-Risk,70,67,4.28571429
4,Overall,162,157,3.08641975
4,High-Risk,31,31,0.00000000
4,Low-Risk,74,72,2.70270270
5,Overall,171,166,2.92397661
5,High-Risk,32,32,0.00000000
5,Low-Risk,65,63,3.07692308
6,Overall,172,169,1.74418605
6,High-Risk,25,22,12.00000000
6,Low-Risk,63,63,0.00000000
7,Overall,166,172,-3.61445783
7,High-Risk,28,28,0.00000000
7,Low-Risk,66,69,-4.54545455
8,Overall,193,181,6.21761658
8,High-Risk,32,29,9.37500000
8,Low-Risk,80,77,3.75000000
9,Overall,181,182,-0.55248619
9,High-Risk,42,40,4.76190476
9,Low-Risk,64,66,-3.12500000
10,Overall,167,160,4.19161677
10,High-Risk,31,27,12.90322581
10,Low-Risk,68,67,1.47058824
11,Overall,176,170,3.40909091
11,High-Risk,31,30,3.22580645
11,Low-Risk,70,70,0.00000000
12,Overall,203,204,-0.49261084
12,High-Risk,34,33,2.94117647
12,Low-Risk,73,74,-1.36986301
13,Overall,188,180,4.25531915
13,High-Risk,27,27,0.00000000
13,Low-Risk,70,72,-2.85714286
14,Overall,175,176,-0.57142857
14,High-Risk,26,30,-15.38461538
14,Low-Risk,70,69,1.42857143
15,Overall,181,181,0.00000000
15,High-Risk,37,38,-2.70270270
15,Low-Risk,61,63,-3.27868852
16,Overall,165,168,-1.81818182
16,High-Risk,36,38,-5.55555556
16,Low-Risk,65,64,1.53846154
17,Overall,196,195,0.51020408
17,High-Risk,31,34,-9.67741935
17,Low-Risk,67,65,2.98507463
18,Overall,174,169,2.87356322
18,High-Risk,25,27,-8.00000000
18,Low-Risk,72,69,4.16666667
19,Overall,187,176,5.88235294
19,High-Risk,31,29,6.45161290
19,Low-Risk,79,73,7.59493671
20,Overall,177,173,2.25988701
20,High-Risk,26,25,3.84615385
20,Low-Risk,71,74,-4.22535211
21,Overall,187,185,1.06951872
21,High-Risk,36,29,19.44444444
21,Low-Risk,71,74,-4.22535211
22,Overall,180,181,-0.55555556
22,High-Risk,31,33,-6.45161290
22,Low-Risk,77,79,-2.59740260
23,Overall,151,150,0.66225166
23,High-Risk,17,16,5.88235294
23,Low-Risk,72,72,0.00000000
24,Overall,194,193,0.51546392
24,High-Risk,38,39,-2.63157895
24,Low-Risk,82,76,7.31707317
25,Overall,175,173,1.14285714
25,High-Risk,24,25,-4.16666667
25,Low-Risk,72,73,-1.38888889
26,Overall,187,184,1.60427807
26,High-Risk,30,31,-3.33333333
26,Low-Risk,74,75,-1.35135135
27,Overall,171,170,0.58479532
27,High-Risk,35,35,0.00000000
27,Low-Risk,65,64,1.53846154
28,Overall,164,167,-1.82926829
28,High-Risk,37,32,13.51351351
28,Low-Risk,60,68,-13.33333333
29,Overall,180,174,3.33333333
29,High-Risk,38,35,7.89473684
29,Low-Risk,67,67,0.00000000
30,Overall,198,189,4.54545455
30,High-Risk,35,37,-5.71428571
30,Low-Risk,82,73,10.97560976
31,Overall,183,174,4.91803279
31,High-Risk,34,34,0.00000000
31,Low-Risk,72,69,4.16666667
32,Overall,179,172,3.91061453
32,High-Risk,35,33,5.71428571
32,Low-Risk,72,66,8.33333333
33,Overall,180,174,3.33333333
33,High-Risk,34,31,8.82352941
33,Low-Risk,73,70,4.10958904
34,Overall,183,184,-0.54644809
34,High-Risk,29,29,0.00000000
34,Low-Risk,71,71,0.00000000
35,Overall,171,178,-4.09356725
35,High-Risk,27,33,-22.22222222
35,Low-Risk,62,63,-1.61290323
36,Overall,173,169,2.31213873
36,High-Risk,36,32,11.11111111
36,Low-Risk,62,58,6.45161290
37,Overall,183,171,6.55737705
37,High-Risk,26,25,3.84615385
37,Low-Risk,73,70,4.10958904
38,Overall,170,173,-1.76470588
38,High-Risk,26,28,-7.69230769
38,Low-Risk,68,66,2.94117647
39,Overall,158,155,1.89873418
39,High-Risk,30,30,0.00000000
39,Low-Risk,59,56,5.08474576
40,Overall,174,173,0.57471264
40,High-Risk,29,33,-13.79310345
40,Low-Risk,67,62,7.46268657
41,Overall,183,179,2.18579235
41,High-Risk,31,29,6.45161290
41,Low-Risk,76,73,3.94736842
42,Overall,197,198,-0.50761421
42,High-Risk,35,38,-8.57142857
42,Low-Risk,86,83,3.48837209
43,Overall,161,169,-4.96894410
43,High-Risk,20,22,-10.00000000
43,Low-Risk,62,63,-1.61290323
44,Overall,149,153,-2.68456376
44,High-Risk,30,32,-6.66666667
44,Low-Risk,51,51,0.00000000
45,Overall,182,188,-3.29670330
45,High-Risk,30,28,6.66666667
45,Low-Risk,74,75,-1.35135135
46,Overall,176,172,2.27272727
46,High-Risk,34,32,5.88235294
46,Low-Risk,73,70,4.10958904
47,Overall,182,182,0.00000000
47,High-Risk,30,30,0.00000000
47,Low-Risk,74,72,2.70270270
48,Overall,194,198,-2.06185567
48,High-Risk,40,41,-2.50000000
48,Low-Risk,74,75,-1.35135135
49,Overall,158,156,1.26582278
49,High-Risk,31,29,6.45161290
49,Low-Risk,68,68,0.00000000
50,Overall,153,160,-4.57516340
50,High-Risk,34,37,-8.82352941
50,Low-Risk,60,62,-3.33333333
