seed,tau,Group,rs,rm
1,0.30000000,Overall,0.92995529,0.93889717
1,0.30000000,High-Risk,0.97637795,0.97637795
1,0.30000000,Low-Risk,0.87012987,0.90259740
1,0.40000000,Overall,0.84798808,0.84649776
1,0.40000000,High-Risk,0.92913386,0.92913386
1,0.40000000,Low-Risk,0.73376623,0.70779221
1,0.50000000,Overall,0.75260805,0.75558867
1,0.50000000,High-Risk,0.87401575,0.87007874
1,0.50000000,Low-Risk,0.57142857,0.57792208
1,0.60000000,Overall,0.64232489,0.63189270
1,0.60000000,High-Risk,0.79133858,0.77559055
1,0.60000000,Low-Risk,0.42207792,0.38961039
1,0.70000000,Overall,0.48882265,0.49627422
1,0.70000000,High-Risk,0.62992126,0.62992126
1,0.70000000,Low-Risk,0.21428571,0.23376623
2,0.30000000,Overall,0.90760060,0.90760060
2,0.30000000,High-Risk,0.96202532,0.96624473
2,0.30000000,Low-Risk,0.84210526,0.83552632
2,0.40000000,Overall,0.82265276,0.83159463
2,0.40000000,High-Risk,0.91139241,0.92405063
2,0.40000000,Low-Risk,0.71052632,0.70394737
2,0.50000000,Overall,0.73919523,0.73770492
2,0.50000000,High-Risk,0.87341772,0.87341772
2,0.50000000,Low-Risk,0.57236842,0.60526316
2,0.60000000,Overall,0.61102832,0.60357675
2,0.60000000,High-Risk,0.77637131,0.78902954
2,0.60000000,Low-Risk,0.41447368,0.42105263
2,0.70000000,Overall,0.45305514,0.45603577
2,0.70000000,High-Risk,0.66244726,0.63291139
2,0.70000000,Low-Risk,0.26315789,0.26973684
3,0.30000000,Overall,0.91803279,0.91505216
3,0.30000000,High-Risk,0.98023715,0.97233202
3,0.30000000,Low-Risk,0.84756098,0.84146341
3,0.40000000,Overall,0.84500745,0.84798808
3,0.40000000,High-Risk,0.94071146,0.93675889
3,0.40000000,Low-Risk,0.72560976,0.73780488
3,0.50000000,Overall,0.74217586,0.74962742
3,0.50000000,High-Risk,0.87747036,0.85770751
3,0.50000000,Low-Risk,0.57317073,0.59146341
3,0.60000000,Overall,0.61847988,0.62891207
3,0.60000000,High-Risk,0.79446640,0.79051383
3,0.60000000,Low-Risk,0.38414634,0.39024390
3,0.70000000,Overall,0.47690015,0.47242921
3,0.70000000,High-Risk,0.66007905,0.64031621
3,0.70000000,Low-Risk,0.21951220,0.23780488
4,0.30000000,Overall,0.91952310,0.91952310
4,0.30000000,High-Risk,0.98084291,0.97318008
4,0.30000000,Low-Risk,0.81595092,0.81595092
4,0.40000000,Overall,0.85543964,0.85543964
4,0.40000000,High-Risk,0.95019157,0.94636015
4,0.40000000,Low-Risk,0.69938650,0.69325153
4,0.50000000,Overall,0.75856930,0.76602086
4,0.50000000,High-Risk,0.88122605,0.88122605
4,0.50000000,Low-Risk,0.54601227,0.55828221
4,0.60000000,Overall,0.60357675,0.63487332
4,0.60000000,High-Risk,0.78160920,0.78927203
4,0.60000000,Low-Risk,0.28834356,0.37423313
4,0.70000000,Overall,0.45901639,0.46199702
4,0.70000000,High-Risk,0.61685824,0.60919540
4,0.70000000,Low-Risk,0.17791411,0.18404908
5,0.30000000,Overall,0.91058122,0.90760060
5,0.30000000,High-Risk,0.97552448,0.96853147
5,0.30000000,Low-Risk,0.80136986,0.81506849
5,0.40000000,Overall,0.83010432,0.83308495
5,0.40000000,High-Risk,0.94755245,0.94755245
5,0.40000000,Low-Risk,0.64383562,0.66438356
5,0.50000000,Overall,0.74515648,0.75260805
5,0.50000000,High-Risk,0.88811189,0.88811189
5,0.50000000,Low-Risk,0.55479452,0.56849315
5,0.60000000,Overall,0.61997019,0.62891207
5,0.60000000,High-Risk,0.81468531,0.80769231
