seed,Group,Model,n,ROC,PR,Rec,F1
1,Rich,S,341,0.81768736,0.83498178,0.76262626,0.76649746
1,Rich,M,341,0.81122413,0.82632136,0.75757576,0.76726343
1,Sparse,S,871,0.83124396,0.84712132,0.74841438,0.76457883
1,Sparse,M,871,0.83186015,0.84919707,0.75475687,0.77022654
2,Rich,S,343,0.81475748,0.84440164,0.73157895,0.76373626
2,Rich,M,343,0.81028552,0.82627069,0.73684211,0.76086957
2,Sparse,S,869,0.81692458,0.84233277,0.74220374,0.75957447
2,Sparse,M,869,0.81732109,0.84169387,0.73804574,0.75451647
3,Rich,S,358,0.80936465,0.85406163,0.72058824,0.73869347
3,Rich,M,358,0.81149733,0.85625141,0.74509804,0.75810474
3,Sparse,S,854,0.82142877,0.84891655,0.75160600,0.76387378
3,Sparse,M,854,0.82250220,0.84918916,0.75160600,0.76387378
4,Rich,S,342,0.79274306,0.82855265,0.72395833,0.74331551
4,Rich,M,342,0.80059028,0.83260102,0.73437500,0.74603175
4,Sparse,S,870,0.82497103,0.83843926,0.77244259,0.77812829
4,Sparse,M,870,0.82918911,0.84374565,0.77870564,0.78443743
5,Rich,S,347,0.79890110,0.80595225,0.74175824,0.75208914
5,Rich,M,347,0.79397269,0.79610232,0.74175824,0.75000000
5,Sparse,S,865,0.82918897,0.86300750,0.74642127,0.77167019
5,Sparse,M,865,0.82760084,0.86098024,0.75664622,0.77976818
6,Rich,S,355,0.79754740,0.82802911,0.73762376,0.76214834
6,Rich,M,355,0.79072025,0.82463181,0.73267327,0.75510204
6,Sparse,S,857,0.80858594,0.83019519,0.74626866,0.75839653
6,Sparse,M,857,0.81078957,0.82891259,0.75479744,0.76375405
7,Rich,S,353,0.84401961,0.87828923,0.75500000,0.79473684
7,Rich,M,353,0.84490196,0.87800147,0.75500000,0.78645833
7,Sparse,S,859,0.84473701,0.86624611,0.75159236,0.77716795
7,Sparse,M,859,0.84515836,0.86492852,0.73885350,0.77161863
8,Rich,S,352,0.78667186,0.79914294,0.73015873,0.73600000
8,Rich,M,352,0.78767813,0.79725444,0.74074074,0.74270557
8,Sparse,S,860,0.82345935,0.86170225,0.70539419,0.74725275
8,Sparse,M,860,0.82567674,0.86167338,0.72614108,0.76004343
9,Rich,S,321,0.80795902,0.83454733,0.73888889,0.75783476
9,Rich,M,321,0.80914106,0.82782924,0.71666667,0.74566474
9,Sparse,S,891,0.81128819,0.83468765,0.72708758,0.75157895
9,Sparse,M,891,0.81120163,0.83480283,0.73319756,0.75313808
10,Rich,S,357,0.79759792,0.80895247,0.75000000,0.76165803
10,Rich,M,357,0.79455571,0.80019026,0.73979592,0.74935401
10,Sparse,S,855,0.83318560,0.84811264,0.75157895,0.77524430
10,Sparse,M,855,0.83601108,0.84936429,0.77052632,0.79220779
11,Rich,S,312,0.86086813,0.86911092,0.75903614,0.78996865
11,Rich,M,312,0.86903780,0.87539050,0.79518072,0.80733945
11,Sparse,S,900,0.81945607,0.84980449,0.73069307,0.75925926
11,Sparse,M,900,0.81973681,0.85178673,0.73069307,0.76082474
12,Rich,S,337,0.82174688,0.83613043,0.70588235,0.73333333
12,Rich,M,337,0.82242424,0.83564178,0.71657754,0.73829201
12,Sparse,S,875,0.80938365,0.83050041,0.69421488,0.74336283
12,Sparse,M,875,0.80601763,0.82590884,0.68801653,0.73591160
13,Rich,S,366,0.80233503,0.84164992,0.68341709,0.71578947
13,Rich,M,366,0.79899497,0.84280266,0.70854271,0.71755725
13,Sparse,S,846,0.79901205,0.83053394,0.73516949,0.74784483
13,Sparse,M,846,0.80106839,0.83107856,0.74152542,0.75349839
14,Rich,S,357,0.78030303,0.79999192,0.75000000,0.73469388
14,Rich,M,357,0.77582071,0.79473748,0.77083333,0.74559194
14,Sparse,S,855,0.81139231,0.83919785,0.73486430,0.76521739
14,Sparse,M,855,0.81043175,0.84008020,0.72442589,0.75599129
15,Rich,S,341,0.75977035,0.78264491,0.69945355,0.71508380
15,Rich,M,341,0.76091167,0.78535678,0.70491803,0.70684932
15,Sparse,S,871,0.83425181,0.86223138,0.74180328,0.77267876
15,Sparse,M,871,0.83546099,0.86524286,0.73975410,0.77054429
16,Rich,S,351,0.85193951,0.86248948,0.75897436,0.80000000
16,Rich,M,351,0.84217620,0.84864397,0.74871795,0.79132791
16,Sparse,S,861,0.81801266,0.84166144,0.75210084,0.76741693
16,Sparse,M,861,0.81422023,0.83890533,0.75000000,0.76282051
17,Rich,S,334,0.80151379,0.83400336,0.68715084,0.71929825
17,Rich,M,334,0.80821770,0.83936659,0.70391061,0.72206304
17,Sparse,S,878,0.82388685,0.85921731,0.71544715,0.76108108
17,Sparse,M,878,0.82268630,0.85619743,0.71138211,0.75593952
18,Rich,S,352,0.84587459,0.87358141,0.75247525,0.77749361
18,Rich,M,352,0.84498350,0.87383728,0.75247525,0.78350515
18,Sparse,S,860,0.82313133,0.84577833,0.73560768,0.75907591
18,Sparse,M,860,0.82854089,0.85219435,0.74626866,0.77007701
19,Rich,S,342,0.81125156,0.87418817,0.72195122,0.76683938
19,Rich,M,342,0.81890689,0.87835209,0.76097561,0.78589421
19,Sparse,S,870,0.82468767,0.84881710,0.72103004,0.75420875
19,Sparse,M,870,0.82213275,0.84535013,0.72746781,0.75754190
20,Rich,S,366,0.80009046,0.82174059,0.73631841,0.74559194
20,Rich,M,366,0.79656264,0.81783602,0.72139303,0.73791349
20,Sparse,S,846,0.83911272,0.85444233,0.73617021,0.76888889
20,Sparse,M,846,0.83690018,0.85195584,0.75106383,0.77582418
21,Rich,S,353,0.81195818,0.85425128,0.75362319,0.77419355
21,Rich,M,353,0.81106479,0.84606314,0.72946860,0.76070529
21,Sparse,S,859,0.81889459,0.84092999,0.70689655,0.73625140
21,Sparse,M,859,0.82372326,0.84424783,0.72198276,0.75280899
22,Rich,S,353,0.77769049,0.82261929,0.72139303,0.73791349
22,Rich,M,353,0.77821419,0.81936959,0.71641791,0.73096447
22,Sparse,S,859,0.83147733,0.85597006,0.73617021,0.76295480
22,Sparse,M,859,0.83180550,0.85710863,0.73617021,0.76127613
23,Rich,S,354,0.83243226,0.85335450,0.76732673,0.79081633
23,Rich,M,354,0.83721991,0.85531083,0.76237624,0.78772379
23,Sparse,S,858,0.84119798,0.86502558,0.77825160,0.78833693
23,Sparse,M,858,0.84098421,0.86544079,0.78251599,0.78586724
24,Rich,S,344,0.81435823,0.84951991,0.69543147,0.74054054
24,Rich,M,344,0.80838427,0.84116236,0.69035533,0.74114441
24,Sparse,S,868,0.79726488,0.82319893,0.71729958,0.74235808
24,Sparse,M,868,0.80331020,0.83023097,0.72151899,0.74428727
25,Rich,S,350,0.81954108,0.86846045,0.69306931,0.74666667
25,Rich,M,350,0.81920658,0.86875069,0.68316832,0.73015873
25,Sparse,S,862,0.81918651,0.83780085,0.75906183,0.76806904
25,Sparse,M,862,0.81864397,0.83877869,0.76759062,0.76677316
26,Rich,S,347,0.79629011,0.80148609,0.65240642,0.70520231
26,Rich,M,347,0.79271390,0.79615660,0.64171123,0.69565217
26,Sparse,S,865,0.85087634,0.87677193,0.74793388,0.78781284
26,Sparse,M,865,0.84971584,0.87594986,0.75826446,0.78755365
27,Rich,S,356,0.79874696,0.82400377,0.72727273,0.75392670
27,Rich,M,356,0.79718067,0.82104861,0.71717172,0.73958333
27,Sparse,S,856,0.83237929,0.85531239,0.75264271,0.77391304
27,Sparse,M,856,0.83248969,0.85418714,0.75898520,0.78213508
28,Rich,S,367,0.79953142,0.82239556,0.73399015,0.73762376
28,Rich,M,367,0.80163403,0.82233208,0.74876847,0.75434243
28,Sparse,S,845,0.83511302,0.84864515,0.76495726,0.78594951
28,Sparse,M,845,0.83664332,0.85125786,0.75213675,0.76855895
29,Rich,S,354,0.81533581,0.82243410,0.71276596,0.73829201
29,Rich,M,354,0.81479108,0.82618090,0.73404255,0.74796748
29,Sparse,S,858,0.82084196,0.84701942,0.73913043,0.76856835
29,Sparse,M,858,0.81995307,0.84451726,0.74327122,0.76873662
30,Rich,S,338,0.83762439,0.86349055,0.74866310,0.76712329
30,Rich,M,338,0.83719942,0.86221699,0.77005348,0.77837838
30,Sparse,S,874,0.81127357,0.84237974,0.68801653,0.73348018
30,Sparse,M,874,0.81125238,0.84259221,0.69834711,0.74285714
31,Rich,S,340,0.79337048,0.82424639,0.71428571,0.73369565
31,Rich,M,340,0.79757525,0.81961022,0.73015873,0.74193548
31,Sparse,S,872,0.83237046,0.86232672,0.73236515,0.76324324
31,Sparse,M,872,0.83023194,0.85554947,0.74481328,0.77038627
32,Rich,S,360,0.83297591,0.85278192,0.76410256,0.77402597
32,Rich,M,360,0.83499611,0.85792343,0.77948718,0.78350515
32,Sparse,S,852,0.82980958,0.84651303,0.72058824,0.75968992
32,Sparse,M,852,0.82571965,0.84643931,0.72899160,0.76431718
33,Rich,S,374,0.82356875,0.85958414,0.70616114,0.76020408
