seed,Model,ROC,PR,Rec,F1
1,S,0.8274790571084623,0.8437256472880355,0.7526080476900149,0.7651515151515151
1,M,0.8173388685191358,0.8386713336559758,0.7391952309985097,0.7515151515151515
2,S,0.8165152020186717,0.8429424166289717,0.7391952309985097,0.7607361963190185
2,M,0.7998628140745047,0.8244486226431592,0.7257824143070045,0.7440794499618029
3,S,0.8183691403290808,0.8509427001182438,0.7421758569299552,0.7562642369020501
3,M,0.8012512017542168,0.8301472169248222,0.7287630402384501,0.7448591012947449
4,S,0.8153499480731989,0.8348363352657823,0.7585692995529061,0.7683018867924528
4,M,0.7983091421472077,0.8183068205872291,0.7511177347242921,0.7578947368421053
5,S,0.8201156438785602,0.8471774304953676,0.7451564828614009,0.7662835249042146
5,M,0.8001382878204792,0.8262603218475367,0.736214605067064,0.758250191864927
6,S,0.8050554941861268,0.8288833917324274,0.7436661698956781,0.7595129375951294
6,M,0.7860037299145206,0.808570958392114,0.7287630402384501,0.7454268292682927
7,S,0.8452774158358838,0.8703366645415873,0.7526080476900149,0.7823392718822618
7,M,0.8317984854453446,0.8544061591282865,0.7466467958271237,0.7713625866050808
8,S,0.8119643757351706,0.8426299902134846,0.7123695976154992,0.7439688715953308
8,M,0.7949566266586963,0.822329752645247,0.7153502235469449,0.7418856259659969
9,S,0.8103941753831152,0.8345416956102985,0.7302533532041728,0.7532667179093006
9,M,0.7971796997887116,0.8267939874614497,0.7257824143070045,0.7418126428027418
10,S,0.8219282611270733,0.8346314163566857,0.7511177347242921,0.7712318286151492
10,M,0.8023227946260582,0.818162246675326,0.7496274217585693,0.7632776934749621
11,S,0.8308563652341113,0.8548919664110854,0.7377049180327869,0.7668474051123161
11,M,0.81664191994182,0.84427164726201,0.7406855439642325,0.755893536121673
12,S,0.8124767569026834,0.831395419247774,0.6974664679582713,0.740506329113924
12,M,0.7834473335518759,0.8074374330467499,0.6870342771982116,0.7208756841282252
13,S,0.8002099109944327,0.8339951503638277,0.7198211624441133,0.7385321100917431
13,M,0.7900311560806696,0.825948371333109,0.7213114754098361,0.7333333333333333
14,S,0.8007167826870261,0.8258825542988659,0.7391952309985097,0.7560975609756098
14,M,0.7883066904308687,0.8069734084364437,0.7347242921013413,0.745275888133031
15,S,0.813523557137387,0.8386992324511906,0.7302533532041728,0.7567567567567568
15,M,0.8024825693987234,0.8307982487362309,0.7406855439642325,0.753030303030303
16,S,0.8280603067124688,0.8483142992875016,0.7540983606557377,0.7766692248656946
16,M,0.8093280919861932,0.8283520210381535,0.7317436661698957,0.7594740912606341
17,S,0.8165923346675447,0.8508915655048964,0.7078986587183308,0.749802683504341
17,M,0.8027304957701006,0.8306220158623938,0.7123695976154992,0.7353846153846154
18,S,0.8302090019310711,0.8545416368594798,0.7406855439642325,0.7646153846153846
18,M,0.8152039469878323,0.8349633464548776,0.7302533532041728,0.7521105141980046
19,S,0.8211211230513675,0.8568672714542491,0.7213114754098361,0.7580266249021144
19,M,0.8019150934820157,0.8322079789131585,0.7257824143070045,0.7457886676875957
20,S,0.8268151653806635,0.8432601369779642,0.736214605067064,0.761757902852737
20,M,0.8099093415901999,0.8228082325249582,0.7600596125186289,0.7686510926902789
21,S,0.8176859654390639,0.8450551983379133,0.7213114754098361,0.7480680061823802
21,M,0.8046588119919231,0.8319925103012846,0.7332339791356185,0.7488584474885844
22,S,0.8159064050400677,0.8442925930851082,0.7317436661698957,0.7553846153846154
22,M,0.7998958709240216,0.830556860828176,0.7302533532041728,0.7446808510638298
23,S,0.8384263837734944,0.8600498025254419,0.7749627421758569,0.7890743550834598
23,M,0.819280958428257,0.8431557660234954,0.7555886736214605,0.7681818181818182
24,S,0.8020087545556471,0.8307858080677036,0.7108792846497765,0.7418351477449455
24,M,0.7874169102313704,0.8133703684694642,0.7302533532041728,0.7441154138192863
25,S,0.8190523152190979,0.8472488141248141,0.7391952309985097,0.7619047619047619
25,M,0.8038654476035162,0.8357747440965948,0.7540983606557377,0.7586206896551724
26,S,0.8348700177129619,0.8556956838655756,0.7213114754098361,0.7652173913043478
26,M,0.8157135734178854,0.8415756684658942,0.7347242921013413,0.7572964669738863
27,S,0.8218704116404186,0.8442228488716597,0.7451564828614009,0.7680491551459293
27,M,0.8082124233149959,0.8332517723272315,0.7377049180327869,0.7522796352583586
28,S,0.8244405816903619,0.8398470251046328,0.7555886736214605,0.7711026615969582
28,M,0.8091297508890916,0.8247931595386475,0.7555886736214605,0.7629796839729119
29,S,0.8190165036321213,0.8384427396188654,0.7317436661698957,0.760061919504644
29,M,0.8100856447876236,0.8321131754127895,0.7526080476900149,0.7639939485627837
30,S,0.8185840098509412,0.8485434567126435,0.7049180327868853,0.7431264728986646
30,M,0.8050141731242304,0.8328081844416965,0.7242921013412816,0.7448275862068966
31,S,0.8211624441132638,0.8508555675016775,0.7272727272727273,0.7548337200309359
31,M,0.8070995093812585,0.8372010651716291,0.7302533532041728,0.7509578544061303
32,S,0.8295092986162953,0.847370461625808,0.7332339791356185,0.7639751552795031
32,M,0.811763279900609,0.8278867350994165,0.7347242921013413,0.7549770290964778
33,S,0.8282724214968691,0.8528760680076162,0.7317436661698957,0.764797507788162
33,M,0.8103583637961383,0.8374745158647502,0.7272727272727273,0.7525057825751735
34,S,0.8306662883493888,0.8621343374162691,0.7272727272727273,0.7536679536679537
34,M,0.8211707083256431,0.8545300156775653,0.7451564828614009,0.7604562737642585
35,S,0.8296360165394439,0.8569090069263336,0.7451564828614009,0.7686395080707148
35,M,0.8049370404753575,0.8321826983089163,0.7377049180327869,0.7511380880121397
36,S,0.8125704179763148,0.8329199730412742,0.7421758569299552,0.756838905775076
36,M,0.8028902705427658,0.8214493458827701,0.7481371087928465,0.7577358490566037
37,S,0.8209888956532998,0.8498310498347188,0.7272727272727273,0.7536679536679537
37,M,0.799967494097975,0.8335429293708303,0.7332339791356185,0.7415222305953278
38,S,0.8441727661145255,0.8695997611864168,0.7466467958271237,0.7731481481481481
38,M,0.8200357564922275,0.8507383542587629,0.7242921013412816,0.7511591962905718
39,S,0.8553762833633141,0.8691557402049249,0.7645305514157973,0.7874136607828089
39,M,0.8432802311775677,0.8605484147557,0.7719821162444114,0.7812971342383107
40,S,0.8296084691648462,0.8539174860207346,0.7406855439642325,0.7663839629915189
40,M,0.8128569106721285,0.8323020003101169,0.7317436661698957,0.7565485362095532
41,S,0.8112784461076938,0.838002855496578,0.7272727272727273,0.7525057825751735
41,M,0.8006038384511764,0.8269437338642669,0.7332339791356185,0.7488584474885844
42,S,0.8236031415025991,0.8552154237020624,0.706408345752608,0.75
42,M,0.8052510805457687,0.8331958453596535,0.7123695976154992,0.7480438184663537
43,S,0.8063639944795061,0.8312989052298002,0.7600596125186289,0.7657657657657657
43,M,0.7883287283305465,0.8129338904313722,0.7466467958271237,0.7516879219804952
44,S,0.8357597979124599,0.8545412348855337,0.7779433681073026,0.7885196374622356
44,M,0.8229227213500417,0.841108116110752,0.7660208643815202,0.7717717717717718
45,S,0.8075237389500594,0.8280955199332374,0.7287630402384501,0.7563805104408353
45,M,0.79513292985612,0.8145291752458754,0.7257824143070045,0.7509637625289128
46,S,0.8091903551132058,0.8278321869720268,0.7377049180327869,0.7534246575342466
46,M,0.7915930922203459,0.8111888835581758,0.7421758569299552,0.75
47,S,0.8087192950075893,0.8300124305636228,0.7287630402384501,0.7517294388931591
47,M,0.7947637950365142,0.8139005218712446,0.7347242921013413,0.7486712224753227
48,S,0.824702281749038,0.8479216970399547,0.7108792846497765,0.75177304964539
48,M,0.8026781557583653,0.829650315527914,0.6944858420268256,0.7315541601255887
49,S,0.8211459156885053,0.8431703569852862,0.7645305514157973,0.7778620166793025
49,M,0.8052125142213321,0.8311071023106551,0.7555886736214605,0.7618332081141999
50,S,0.8275727181820937,0.852824014092222,0.7719821162444114,0.7801204819277109
50,M,0.8088983529424729,0.8384206622744262,0.7511177347242921,0.7630582891748675
