seed,Group,fs,fm,rate
1,Overall,166,175,-5.421686746987952
1,High-Risk,32,33,-3.125
1,Low-Risk,66,69,-4.545454545454546
2,Overall,175,184,-5.142857142857143
2,High-Risk,30,34,-13.333333333333334
2,Low-Risk,65,65,0.0
3,Overall,173,182,-5.202312138728324
3,High-Risk,31,37,-19.35483870967742
3,Low-Risk,70,72,-2.857142857142857
4,Overall,162,167,-3.0864197530864197
4,High-Risk,31,28,9.67741935483871
4,Low-Risk,74,80,-8.108108108108109
5,Overall,171,177,-3.508771929824561
5,High-Risk,32,31,3.125
5,Low-Risk,65,70,-7.6923076923076925
6,Overall,172,182,-5.813953488372093
6,High-Risk,25,30,-20.0
6,Low-Risk,63,67,-6.349206349206349
7,Overall,166,170,-2.4096385542168677
7,High-Risk,28,32,-14.285714285714286
7,Low-Risk,66,62,6.0606060606060606
8,Overall,193,191,1.0362694300518134
8,High-Risk,32,28,12.5
8,Low-Risk,80,79,1.25
9,Overall,181,184,-1.6574585635359116
9,High-Risk,42,47,-11.904761904761905
9,Low-Risk,64,59,7.8125
10,Overall,167,168,-0.5988023952095808
10,High-Risk,31,29,6.451612903225806
10,Low-Risk,68,74,-8.823529411764707
11,Overall,176,174,1.1363636363636365
11,High-Risk,31,27,12.903225806451612
11,Low-Risk,70,71,-1.4285714285714286
12,Overall,203,210,-3.4482758620689653
12,High-Risk,34,34,0.0
12,Low-Risk,73,74,-1.36986301369863
13,Overall,188,187,0.5319148936170213
13,High-Risk,27,31,-14.814814814814815
13,Low-Risk,70,66,5.714285714285714
14,Overall,175,178,-1.7142857142857142
14,High-Risk,26,32,-23.076923076923077
14,Low-Risk,70,66,5.714285714285714
15,Overall,181,174,3.867403314917127
15,High-Risk,37,30,18.91891891891892
15,Low-Risk,61,58,4.918032786885246
16,Overall,165,180,-9.090909090909092
16,High-Risk,36,40,-11.11111111111111
16,Low-Risk,65,72,-10.76923076923077
17,Overall,196,193,1.530612244897959
17,High-Risk,31,28,9.67741935483871
17,Low-Risk,67,66,1.492537313432836
18,Overall,174,181,-4.022988505747127
18,High-Risk,25,32,-28.0
18,Low-Risk,72,70,2.7777777777777777
19,Overall,187,184,1.6042780748663101
19,High-Risk,31,34,-9.67741935483871
19,Low-Risk,79,75,5.063291139240507
20,Overall,177,161,9.03954802259887
20,High-Risk,26,22,15.384615384615385
20,Low-Risk,71,70,1.408450704225352
21,Overall,187,179,4.278074866310161
21,High-Risk,36,28,22.22222222222222
21,Low-Risk,71,71,0.0
22,Overall,180,181,-0.5555555555555556
22,High-Risk,31,30,3.225806451612903
22,Low-Risk,77,79,-2.5974025974025974
23,Overall,151,164,-8.609271523178808
23,High-Risk,17,19,-11.764705882352942
23,Low-Risk,72,76,-5.555555555555555
24,Overall,194,181,6.701030927835052
24,High-Risk,38,36,5.2631578947368425
24,Low-Risk,82,71,13.414634146341463
25,Overall,175,165,5.714285714285714
25,High-Risk,24,24,0.0
25,Low-Risk,72,66,8.333333333333334
26,Overall,187,178,4.81283422459893
26,High-Risk,30,25,16.666666666666668
26,Low-Risk,74,75,-1.3513513513513513
27,Overall,171,176,-2.9239766081871346
27,High-Risk,35,35,0.0
27,Low-Risk,65,62,4.615384615384615
28,Overall,164,164,0.0
28,High-Risk,37,34,8.108108108108109
28,Low-Risk,60,62,-3.3333333333333335
29,Overall,180,166,7.777777777777778
29,High-Risk,38,34,10.526315789473685
29,Low-Risk,67,55,17.91044776119403
30,Overall,198,185,6.565656565656566
30,High-Risk,35,38,-8.571428571428571
30,Low-Risk,82,72,12.195121951219512
31,Overall,183,181,1.092896174863388
31,High-Risk,34,28,17.647058823529413
31,Low-Risk,72,71,1.3888888888888888
32,Overall,179,178,0.5586592178770949
32,High-Risk,35,34,2.857142857142857
32,Low-Risk,72,70,2.7777777777777777
33,Overall,180,183,-1.6666666666666667
33,High-Risk,34,31,8.823529411764707
33,Low-Risk,73,78,-6.8493150684931505
34,Overall,183,171,6.557377049180328
34,High-Risk,29,32,-10.344827586206897
34,Low-Risk,71,67,5.633802816901408
35,Overall,171,176,-2.9239766081871346
