seed,tau,Group,rs,rm
1,0.3,Overall,0.9299552906110283,0.9344262295081968
1,0.3,High-Risk,0.9763779527559056,0.9803149606299213
1,0.3,Low-Risk,0.8701298701298701,0.8701298701298701
1,0.4,Overall,0.8479880774962743,0.8807749627421758
1,0.4,High-Risk,0.9291338582677166,0.9566929133858267
1,0.4,Low-Risk,0.7337662337662337,0.7922077922077922
1,0.5,Overall,0.7526080476900149,0.7391952309985097
1,0.5,High-Risk,0.8740157480314961,0.8700787401574803
1,0.5,Low-Risk,0.5714285714285714,0.551948051948052
1,0.6,Overall,0.6423248882265276,0.6080476900149031
1,0.6,High-Risk,0.7913385826771654,0.7637795275590551
1,0.6,Low-Risk,0.42207792207792205,0.37662337662337664
1,0.7,Overall,0.488822652757079,0.4366616989567809
1,0.7,High-Risk,0.6299212598425197,0.5708661417322834
1,0.7,Low-Risk,0.21428571428571427,0.22727272727272727
2,0.3,Overall,0.9076005961251863,0.9225037257824144
2,0.3,High-Risk,0.9620253164556962,0.9704641350210971
2,0.3,Low-Risk,0.8421052631578947,0.8618421052631579
2,0.4,Overall,0.8226527570789866,0.8360655737704918
2,0.4,High-Risk,0.9113924050632911,0.9240506329113924
2,0.4,Low-Risk,0.7105263157894737,0.7302631578947368
2,0.5,Overall,0.7391952309985097,0.7257824143070045
2,0.5,High-Risk,0.8734177215189873,0.8565400843881856
2,0.5,Low-Risk,0.5723684210526315,0.5723684210526315
2,0.6,Overall,0.6110283159463488,0.5543964232488823
2,0.6,High-Risk,0.7763713080168776,0.7552742616033755
2,0.6,Low-Risk,0.4144736842105263,0.3815789473684211
2,0.7,Overall,0.45305514157973176,0.3919523099850969
2,0.7,High-Risk,0.6624472573839663,0.5569620253164557
2,0.7,Low-Risk,0.2631578947368421,0.2236842105263158
3,0.3,Overall,0.9180327868852459,0.9388971684053651
3,0.3,High-Risk,0.9802371541501976,0.9881422924901185
3,0.3,Low-Risk,0.8475609756097561,0.9024390243902439
3,0.4,Overall,0.8450074515648286,0.849478390461997
3,0.4,High-Risk,0.9407114624505929,0.9407114624505929
3,0.4,Low-Risk,0.725609756097561,0.75
3,0.5,Overall,0.7421758569299552,0.7287630402384501
3,0.5,High-Risk,0.8774703557312253,0.8537549407114624
3,0.5,Low-Risk,0.573170731707317,0.5609756097560976
3,0.6,Overall,0.6184798807749627,0.5901639344262295
3,0.6,High-Risk,0.7944664031620553,0.7549407114624506
3,0.6,Low-Risk,0.38414634146341464,0.36585365853658536
3,0.7,Overall,0.47690014903129657,0.4277198211624441
3,0.7,High-Risk,0.6600790513833992,0.5731225296442688
3,0.7,Low-Risk,0.21951219512195122,0.20121951219512196
4,0.3,Overall,0.9195230998509687,0.940387481371088
4,0.3,High-Risk,0.9808429118773946,0.9961685823754789
4,0.3,Low-Risk,0.8159509202453987,0.8466257668711656
4,0.4,Overall,0.8554396423248882,0.8643815201192251
4,0.4,High-Risk,0.9501915708812261,0.9578544061302682
4,0.4,Low-Risk,0.6993865030674846,0.6809815950920245
4,0.5,Overall,0.7585692995529061,0.7511177347242921
4,0.5,High-Risk,0.8812260536398467,0.89272030651341
4,0.5,Low-Risk,0.5460122699386503,0.50920245398773
4,0.6,Overall,0.6035767511177347,0.5737704918032787
4,0.6,High-Risk,0.7816091954022989,0.7241379310344828
