seed,Group,Model,ROC,PR,Rec,F1
1,Marginal,S,0.6450801450801451,0.6846944917637172,0.597972972972973,0.6276595744680851
1,Marginal,M,0.6181993681993682,0.66135190984831,0.5945945945945946,0.6230088495575221
1,Clear,S,0.8983569892473119,0.8970923493442088,0.8746666666666667,0.8677248677248677
1,Clear,M,0.8897634408602151,0.8920225089252158,0.872,0.8650793650793651
2,Marginal,S,0.6268207471109916,0.6574543631371756,0.6295081967213115,0.6453781512605042
2,Marginal,M,0.5804084923407686,0.6450454888335031,0.6,0.6089850249584027
2,Clear,S,0.891492336847528,0.9038628328729378,0.8306010928961749,0.8575458392101551
2,Clear,M,0.8828908391749921,0.8969647474839169,0.825136612021858,0.8555240793201133
3,Marginal,S,0.6520544935179081,0.6700986803958126,0.6013513513513513,0.6234676007005254
3,Marginal,M,0.6411914963744232,0.6808182070944868,0.6148648648648649,0.6363636363636364
3,Clear,S,0.8918418079096044,0.9154424349673667,0.8533333333333334,0.8579088471849866
3,Clear,M,0.8882079096045198,0.9065851122393607,0.8533333333333334,0.856760374832664
4,Marginal,S,0.6622201173468045,0.6807485813954351,0.6504854368932039,0.6666666666666666
4,Marginal,M,0.6375930749598759,0.6577329610383034,0.6181229773462783,0.6398659966499163
4,Clear,S,0.8874707369603894,0.8915892525635685,0.850828729281768,0.853185595567867
4,Clear,M,0.8787526921996441,0.8823244371098659,0.8480662983425414,0.8515950069348127
5,Marginal,S,0.6503800675675677,0.6760066194833915,0.625,0.6457242582897034
5,Marginal,M,0.6225647522522523,0.6457078799960113,0.6013513513513513,0.6223776223776224
5,Clear,S,0.8792380952380952,0.8982061187984076,0.84,0.860655737704918
5,Clear,M,0.874905869324474,0.8953739436788415,0.8373333333333334,0.8579234972677595
6,Marginal,S,0.6520186839394324,0.6817957078234019,0.6387959866220736,0.6586206896551724
6,Marginal,M,0.6373424777387353,0.6722373404715387,0.6153846153846154,0.6467486818980668
6,Clear,S,0.8691903650254669,0.8812112828946239,0.8279569892473119,0.8392370572207084
6,Clear,M,0.8577391058290889,0.87080567810931,0.8279569892473119,0.8403819918144612
7,Marginal,S,0.652037037037037,0.6695343472900496,0.6066666666666667,0.6419753086419753
7,Marginal,M,0.6270634920634921,0.6468364696159977,0.5966666666666667,0.6236933797909407
7,Clear,S,0.9181301821505515,0.9291628543103717,0.8706199460916442,0.8922651933701657
7,Clear,M,0.9063039200141765,0.9186934329277936,0.8679245283018868,0.8907330567081605
8,Marginal,S,0.6539702431740615,0.6473740399901212,0.5631399317406144,0.6
8,Marginal,M,0.6124680034129693,0.6215460074592727,0.6109215017064846,0.6193771626297578
8,Clear,S,0.8814443516197902,0.9041922133527527,0.828042328042328,0.8517006802721089
