seed,Group,fs,fm,rate
1,Overall,166,168,-1.2048192771084338
1,High-Risk,32,28,12.5
1,Low-Risk,66,70,-6.0606060606060606
2,Overall,175,186,-6.285714285714286
2,High-Risk,30,29,3.3333333333333335
2,Low-Risk,65,69,-6.153846153846154
3,Overall,173,169,2.3121387283236996
3,High-Risk,31,28,9.67741935483871
3,Low-Risk,70,70,0.0
4,Overall,162,173,-6.790123456790123
4,High-Risk,31,35,-12.903225806451612
4,Low-Risk,74,75,-1.3513513513513513
5,Overall,171,179,-4.678362573099415
5,High-Risk,32,36,-12.5
5,Low-Risk,65,64,1.5384615384615385
6,Overall,172,179,-4.069767441860465
6,High-Risk,25,30,-20.0
6,Low-Risk,63,67,-6.349206349206349
7,Overall,166,170,-2.4096385542168677
7,High-Risk,28,31,-10.714285714285714
7,Low-Risk,66,63,4.545454545454546
8,Overall,193,180,6.7357512953367875
8,High-Risk,32,34,-6.25
8,Low-Risk,80,70,12.5
9,Overall,181,180,0.5524861878453039
9,High-Risk,42,38,9.523809523809524
9,Low-Risk,64,65,-1.5625
10,Overall,167,162,2.9940119760479043
10,High-Risk,31,23,25.806451612903224
10,Low-Risk,68,71,-4.411764705882353
11,Overall,176,169,3.977272727272727
11,High-Risk,31,24,22.580645161290324
11,Low-Risk,70,72,-2.857142857142857
12,Overall,203,217,-6.896551724137931
12,High-Risk,34,41,-20.58823529411765
12,Low-Risk,73,80,-9.58904109589041
13,Overall,188,182,3.1914893617021276
13,High-Risk,27,25,7.407407407407407
13,Low-Risk,70,70,0.0
14,Overall,175,178,-1.7142857142857142
14,High-Risk,26,29,-11.538461538461538
14,Low-Risk,70,65,7.142857142857143
15,Overall,181,181,0.0
15,High-Risk,37,32,13.513513513513514
15,Low-Risk,61,66,-8.19672131147541
16,Overall,165,183,-10.909090909090908
16,High-Risk,36,38,-5.555555555555555
16,Low-Risk,65,72,-10.76923076923077
17,Overall,196,187,4.591836734693878
17,High-Risk,31,31,0.0
17,Low-Risk,67,60,10.447761194029852
18,Overall,174,172,1.1494252873563218
18,High-Risk,25,28,-12.0
18,Low-Risk,72,71,1.3888888888888888
19,Overall,187,187,0.0
19,High-Risk,31,34,-9.67741935483871
19,Low-Risk,79,74,6.329113924050633
20,Overall,177,172,2.824858757062147
20,High-Risk,26,21,19.23076923076923
20,Low-Risk,71,73,-2.816901408450704
21,Overall,187,180,3.7433155080213902
21,High-Risk,36,31,13.88888888888889
21,Low-Risk,71,70,1.408450704225352
22,Overall,180,183,-1.6666666666666667
22,High-Risk,31,33,-6.451612903225806
22,Low-Risk,77,78,-1.2987012987012987
23,Overall,151,165,-9.271523178807946
23,High-Risk,17,25,-47.05882352941177
23,Low-Risk,72,75,-4.166666666666667
24,Overall,194,185,4.639175257731959
24,High-Risk,38,36,5.2631578947368425
24,Low-Risk,82,75,8.536585365853659
25,Overall,175,167,4.571428571428571
25,High-Risk,24,22,8.333333333333334
25,Low-Risk,72,73,-1.3888888888888888
26,Overall,187,189,-1.0695187165775402
26,High-Risk,30,32,-6.666666666666667
26,Low-Risk,74,78,-5.405405405405405
27,Overall,171,190,-11.11111111111111
27,High-Risk,35,40,-14.285714285714286
27,Low-Risk,65,68,-4.615384615384615
28,Overall,164,166,-1.2195121951219512
28,High-Risk,37,35,5.405405405405405
28,Low-Risk,60,68,-13.333333333333334
29,Overall,180,180,0.0
29,High-Risk,38,31,18.42105263157895
29,Low-Risk,67,73,-8.955223880597014
30,Overall,198,193,2.525252525252525
30,High-Risk,35,39,-11.428571428571429
30,Low-Risk,82,73,10.975609756097562
31,Overall,183,185,-1.092896174863388
31,High-Risk,34,37,-8.823529411764707
31,Low-Risk,72,70,2.7777777777777777
32,Overall,179,170,5.027932960893855
32,High-Risk,35,31,11.428571428571429
32,Low-Risk,72,69,4.166666666666667
33,Overall,180,171,5.0
33,High-Risk,34,27,20.58823529411765
33,Low-Risk,73,66,9.58904109589041
34,Overall,183,172,6.0109289617486334
34,High-Risk,29,26,10.344827586206897
34,Low-Risk,71,66,7.042253521126761
35,Overall,171,184,-7.60233918128655
35,High-Risk,27,31,-14.814814814814815
35,Low-Risk,62,68,-9.67741935483871
36,Overall,173,167,3.468208092485549
36,High-Risk,36,30,16.666666666666668
36,Low-Risk,62,63,-1.6129032258064515
37,Overall,183,180,1.639344262295082
37,High-Risk,26,22,15.384615384615385
37,Low-Risk,73,73,0.0
38,Overall,170,171,-0.5882352941176471
38,High-Risk,26,26,0.0
38,Low-Risk,68,69,-1.4705882352941178
39,Overall,158,154,2.5316455696202533
39,High-Risk,30,28,6.666666666666667
39,Low-Risk,59,56,5.084745762711864
40,Overall,174,171,1.7241379310344827
40,High-Risk,29,32,-10.344827586206897
40,Low-Risk,67,59,11.940298507462687
41,Overall,183,176,3.8251366120218577
41,High-Risk,31,30,3.225806451612903
41,Low-Risk,76,74,2.6315789473684212
42,Overall,197,199,-1.015228426395939
42,High-Risk,35,33,5.714285714285714
42,Low-Risk,86,92,-6.976744186046512
43,Overall,161,175,-8.695652173913043
43,High-Risk,20,22,-10.0
43,Low-Risk,62,65,-4.838709677419355
44,Overall,149,149,0.0
44,High-Risk,30,28,6.666666666666667
44,Low-Risk,51,50,1.9607843137254901
45,Overall,182,188,-3.2967032967032965
45,High-Risk,30,32,-6.666666666666667
45,Low-Risk,74,76,-2.7027027027027026
46,Overall,176,170,3.409090909090909
46,High-Risk,34,33,2.9411764705882355
46,Low-Risk,73,70,4.109589041095891
47,Overall,182,199,-9.340659340659341
47,High-Risk,30,32,-6.666666666666667
47,Low-Risk,74,81,-9.45945945945946
48,Overall,194,208,-7.216494845360825
48,High-Risk,40,39,2.5
48,Low-Risk,74,73,1.3513513513513513
49,Overall,158,166,-5.063291139240507
49,High-Risk,31,32,-3.225806451612903
49,Low-Risk,68,71,-4.411764705882353
50,Overall,153,149,2.6143790849673203
50,High-Risk,34,33,2.9411764705882355
50,Low-Risk,60,56,6.666666666666667
