seed,tau,Group,rs,rm
1,0.3,Overall,0.9299552906110283,0.9374068554396423
1,0.3,High-Risk,0.9763779527559056,0.9763779527559056
1,0.3,Low-Risk,0.8701298701298701,0.8961038961038961
1,0.4,Overall,0.8479880774962743,0.8584202682563339
1,0.4,High-Risk,0.9291338582677166,0.9448818897637795
1,0.4,Low-Risk,0.7337662337662337,0.6948051948051948
1,0.5,Overall,0.7526080476900149,0.7496274217585693
1,0.5,High-Risk,0.8740157480314961,0.889763779527559
1,0.5,Low-Risk,0.5714285714285714,0.5454545454545454
1,0.6,Overall,0.6423248882265276,0.6005961251862891
1,0.6,High-Risk,0.7913385826771654,0.7637795275590551
1,0.6,Low-Risk,0.42207792207792205,0.37662337662337664
1,0.7,Overall,0.488822652757079,0.44709388971684055
1,0.7,High-Risk,0.6299212598425197,0.5905511811023622
1,0.7,Low-Risk,0.21428571428571427,0.2012987012987013
2,0.3,Overall,0.9076005961251863,0.9195230998509687
2,0.3,High-Risk,0.9620253164556962,0.9662447257383966
2,0.3,Low-Risk,0.8421052631578947,0.8486842105263158
2,0.4,Overall,0.8226527570789866,0.8375558867362146
2,0.4,High-Risk,0.9113924050632911,0.9282700421940928
2,0.4,Low-Risk,0.7105263157894737,0.7368421052631579
2,0.5,Overall,0.7391952309985097,0.7228017883755589
2,0.5,High-Risk,0.8734177215189873,0.8776371308016878
2,0.5,Low-Risk,0.5723684210526315,0.5460526315789473
2,0.6,Overall,0.6110283159463488,0.5573770491803278
2,0.6,High-Risk,0.7763713080168776,0.7552742616033755
2,0.6,Low-Risk,0.4144736842105263,0.3684210526315789
2,0.7,Overall,0.45305514157973176,0.3889716840536513
2,0.7,High-Risk,0.6624472573839663,0.5527426160337553
2,0.7,Low-Risk,0.2631578947368421,0.21052631578947367
3,0.3,Overall,0.9180327868852459,0.9433681073025335
3,0.3,High-Risk,0.9802371541501976,0.9881422924901185
3,0.3,Low-Risk,0.8475609756097561,0.8841463414634146
3,0.4,Overall,0.8450074515648286,0.8733233979135618
3,0.4,High-Risk,0.9407114624505929,0.9486166007905138
3,0.4,Low-Risk,0.725609756097561,0.774390243902439
3,0.5,Overall,0.7421758569299552,0.7481371087928465
3,0.5,High-Risk,0.8774703557312253,0.8893280632411067
