variable,mean,std,median,q1,q3,min,max,n
Age,36.02,6.41,35.0,32.0,40.0,21.0,68.0,6057
Credit Score,629.25,129.44,638.0,577.0,706.0,0.0,950.0,6057
Loan Amount,412.98,292.37,300.0,200.0,500.0,100.0,5000.0,6057
Loan Interest Rate,0.32,0.05,0.3,0.29,0.35,0.05,0.59,6057
Loan Year,10.45,1.85,11.0,9.0,12.0,7.0,15.0,6057
Loan Purpose,0.72,0.45,1.0,0.0,1.0,0.0,1.0,6057
Bank Loan,960.03,2824.6,0.0,0.0,784.0,0.0,43700.0,6057
Total Count,3.31,3.26,2.0,1.0,4.0,1.0,48.0,6057
Success Count,1.8,1.28,1.0,1.0,2.0,1.0,9.0,6057
Success Rate,0.45,0.16,0.5,0.33,0.5,0.02,0.89,6057
Number of Investors,34.54,23.05,30.0,17.0,48.0,0.0,164.0,6057
Months of Service,28.97,42.83,13.0,4.0,36.0,0.0,491.0,6057
Social Insurance,0.43,0.5,0.0,0.0,1.0,0.0,1.0,6057
